,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/12/2024 23:44:36.847,602.234,0.0058,1,6,0,0,0,0,0,0,0,0,-0.1214104,3.868619,-0.4696905802376,1.046657e-10,2.080024e-07,4.066819e-10,8.06565e-07,,-0.0017368090339005,,,,,,,23.905702551938,0.0208383611331067
27,43,	06/12/2024 23:48:10.055,815.4425,213.2143,1,6,0,0,0,0,0,0,0,0,-0.2519999,3.855603,-0.9716115704397,1.046657e-10,0.008096063,4.066819e-10,0.03128725,,-8.19489796413e-05,,0.406678795814514,,,,,23.7966573937903,-0.0068336511803538
28,44,	06/12/2024 23:48:20.055,825.4425,223.2143,1,6,0,0,0,0,0,0,0,0,-0.2530489,3.854882,-0.9754736497298,1.046657e-10,0.008808974,4.066819e-10,0.03403531,,-0.000307780195726,,,,,,,23.78666,0.01490533
29,45,	06/12/2024 23:48:30.056,835.4436,233.2154,1,6,0,0,0,0,0,0,0,0,-0.2639856,3.854753,-1.0175992835568,1.046657e-10,0.009525379,4.066819e-10,0.03679636,,-0.0006617259932681,,,,,,,23.8292174852386,0.0080329866922537
30,46,	06/12/2024 23:48:40.057,845.4446,243.2164,1,6,0,0,0,0,0,0,0,0,-0.2236681,3.856446,-0.8625639495726,1.046657e-10,0.01022494,4.066819e-10,0.03949242,,0.0017086999723687,,,,,,,23.7905,-0.007625222
31,47,	06/12/2024 23:48:50.058,855.4449,253.2167,1,6,0,0,0,0,0,0,0,0,-0.2189436,3.855839,-0.8442112716804,1.046657e-10,0.01083869,4.066819e-10,0.04185932,,9.59858080022e-05,,,,,,,23.7701398978088,-0.0003141895860972
32,48,	06/12/2024 23:49:00.059,865.4458,263.2176,1,6,0,0,0,0,0,0,0,0,-0.2162704,3.856583,-0.8340647480432,1.046657e-10,0.01144275,4.066819e-10,0.04418884,,-7.33297783881e-05,,,,,,,23.71488,-0.02073288
33,49,	06/12/2024 23:49:10.059,875.4465,273.2183,1,6,0,0,0,0,0,0,0,0,-0.2146759,3.855641,-0.8277132017519,1.046657e-10,0.01204093,4.066819e-10,0.04649565,,0.0004849373945035,,,,,,,23.8384921111334,0.0189371910650936
34,50,	06/12/2024 23:49:20.059,885.4466,283.2184,1,6,0,0,0,0,0,0,0,0,-0.2131939,3.856229,-0.8221244998031,1.046657e-10,0.01263536,4.066819e-10,0.04878791,,-4.86790304421e-05,,,,,,,23.8519800744498,0.0074936103809583
35,51,	06/12/2024 23:49:30.060,895.4476,293.2194,1,6,0,0,0,0,0,0,0,0,-0.2126923,3.856068,-0.8201559718764,1.046657e-10,0.01322707,4.066819e-10,0.05106955,,-5.65047812415e-05,,,,,,,23.76921,-0.008068085
36,52,	06/12/2024 23:49:40.061,905.4486,303.2204,1,6,0,0,0,0,0,0,0,0,-0.2119951,3.855424,-0.8173309964224,1.046657e-10,0.01381756,4.066819e-10,0.05334628,,-7.00516466167e-05,,,0.0,,,,23.80934,0.004037619
37,53,	06/12/2024 23:49:50.061,915.4486,313.2204,1,6,0,0,0,0,0,0,0,0,-0.2121191,3.855321,-0.8177872207311,1.046657e-10,0.01440709,4.066819e-10,0.05561915,,,,,,,,,23.7548909863847,0.018936246658865
38,54,	06/12/2024 23:50:00.063,925.4501,323.2219,1,6,0,0,0,0,0,0,0,0,-0.2116928,3.855138,-0.8161049576064,1.046657e-10,0.01499596,4.066819e-10,0.05788931,,-4.55970803159e-05,,,,,,,23.75309,-0.01153171
39,55,	06/12/2024 23:50:10.063,935.4503,333.2221,1,6,0,0,0,0,0,0,0,0,-0.2120543,3.854701,-0.8174059222643,1.046657e-10,0.01558453,4.066819e-10,0.06015813,,3.75362797058e-05,,0.0,,,,,23.7420025980544,-0.0074935363220912
40,56,	06/12/2024 23:50:20.063,945.4505,343.2223,1,6,0,0,0,0,0,0,0,0,-0.2115183,3.854326,-0.8152604831658,1.046657e-10,0.01617265,4.066819e-10,0.06242501,,-7.15212299837e-05,,,,,,,23.7208101484198,-0.0345060508305221
41,57,	06/12/2024 23:50:30.064,955.4508,353.2226,1,6,0,0,0,0,0,0,0,0,-0.2118349,3.854023,-0.8164165768027,1.046657e-10,0.01676053,4.066819e-10,0.06469078,,6.06087014602e-05,,,,,,,23.80431,0.01591563
42,58,	06/12/2024 23:50:40.064,965.4517,363.2235,1,6,0,0,0,0,0,0,0,0,-0.2116127,3.853567,-0.8154637175009,1.046657e-10,0.0173484,4.066819e-10,0.06695633,,-2.69089196081e-05,,,,,,,23.77416,0.00626564
43,59,	06/12/2024 23:50:50.066,975.4533,373.2251,1,6,0,0,0,0,0,0,0,0,-0.211668,3.853279,-0.815615859372,1.046657e-10,0.01793621,4.066819e-10,0.06922144,,,,,,,,,23.7504732592905,0.0013548626756618
44,60,	06/12/2024 23:51:00.066,985.4534,383.2252,1,6,0,0,0,0,0,0,0,0,-0.2115402,3.853072,-0.8150796214944,1.046657e-10,0.01852407,4.066819e-10,0.07148658,,-4.63478099845e-05,,,,,,,23.75371,-0.007847548
45,61,	06/12/2024 23:51:10.067,995.4542,393.226,1,6,0,0,0,0,0,0,0,0,-0.211463,3.852727,-0.814709209601,1.046657e-10,0.01911188,4.066819e-10,0.07375133,,0.0006405701278708,,2.22939896583557,,,,,23.803817247991,0.0141123721618341
46,62,	06/12/2024 23:51:20.068,1005.4552,403.227,1,6,0,0,0,0,0,0,0,0,-0.2118025,3.852503,-0.8159697666575,1.046657e-10,0.01969934,4.066819e-10,0.07601453,,-5.69770600122e-05,,-0.0094355605542659,,,,,23.77801,-0.001800656
47,63,	06/12/2024 23:51:30.069,1015.4562,413.228,1,6,0,0,0,0,0,0,0,0,-0.211689,3.852173,-0.815462650197,1.046657e-10,0.02028734,4.066819e-10,0.07827962,,-6.23897576588e-05,,,,,,,23.77764,-0.003016591
48,64,	06/12/2024 23:51:40.069,1025.4563,423.2281,1,6,0,0,0,0,0,0,0,0,-0.2115612,3.850979,-0.8147177384148,1.046657e-10,0.02087514,4.066819e-10,0.08054374,,-0.0001458379992982,,,0.0,,,,23.77725,0.001570582
49,65,	06/12/2024 23:51:50.069,1035.4564,433.2282,1,6,0,0,0,0,0,0,0,0,-0.2119436,3.851432,-0.8162863632352,1.046657e-10,0.02146304,4.066819e-10,0.08280804,,7.04502526787e-05,,0.395008891820908,0.671027183532715,,,,23.83485,0.004692674
50,66,	06/12/2024 23:52:00.070,1045.4573,443.2291,1,6,0,0,0,0,0,0,0,0,-0.2115364,3.850369,-0.8144931969316,1.046657e-10,0.02205084,4.066819e-10,0.08507179,,,,,,,,,23.8187066738699,-0.0116507564946484
51,67,	06/12/2024 23:52:10.070,1055.4575,453.2293,1,6,0,0,0,0,0,0,0,0,-0.211997,3.850845,-0.816367587465,1.046657e-10,0.02263842,4.066819e-10,0.08733448,,-5.05381904076e-05,,,,,,,23.8445050521107,0.0073943617799217
52,68,	06/12/2024 23:52:20.071,1065.4584,463.2302,1,6,0,0,0,0,0,0,0,0,-0.2116241,3.850661,-0.8148926685301,1.046657e-10,0.02322637,4.066819e-10,0.08959839,,1.85698099812e-05,,,,,,,23.84734,-0.01007915
53,69,	06/12/2024 23:52:30.072,1075.4593,473.2311,1,6,0,0,0,0,0,0,0,0,-0.2116528,3.850225,-0.81491090188,1.046657e-10,0.02381435,4.066819e-10,0.09186228,,-4.57178903161e-05,,,,,,,23.8684175291118,-0.0054932099177738
54,70,	06/12/2024 23:52:40.073,1085.4602,483.232,1,6,0,0,0,0,0,0,0,0,-0.2116871,3.849907,-0.8149756480997,1.046657e-10,0.0244021,4.066819e-10,0.09412504,,5.44469003216e-05,,,,,,,23.84016,-0.0005501509
55,71,	06/12/2024 23:52:50.074,1095.4617,493.2335,1,6,0,0,0,0,0,0,0,0,-0.2113714,3.849559,-0.8136866752126,1.046657e-10,0.02498993,4.066819e-10,0.09638792,,,,,,,,,23.9292460117393,0.0131999071519995
56,72,	06/12/2024 23:53:00.075,1105.4626,503.2344,1,6,0,0,0,0,0,0,0,0,-0.211997,3.849332,-0.816046836004,1.046657e-10,0.02557779,4.066819e-10,0.0986507,,-7.22294935258e-05,,,,,,,23.9514177013144,0.0059194100731192
57,73,	06/12/2024 23:53:10.076,1115.4628,513.2346,1,6,0,0,0,0,0,0,0,0,-0.211688,3.848583,-0.814698838104,1.046657e-10,0.02616527,4.066819e-10,0.1009119,,-3.7059369788e-05,,,,,,,23.98004,0.02304494
58,74,	06/12/2024 23:53:20.076,1125.463,523.2348,1,6,0,0,0,0,0,0,0,0,-0.2113819,3.848481,-0.8134992258939,1.046657e-10,0.02675317,4.066819e-10,0.1031744,,0.0028997920453548,,,,,,,23.9188257616663,-0.0043735146545552
59,75,	06/12/2024 23:53:30.076,1135.4631,533.2349,1,6,0,0,0,0,0,0,0,0,-0.2113409,3.848061,-0.8132526749949,1.046657e-10,0.02734102,4.066819e-10,0.1054366,,-5.45658913324e-05,,,,,,,23.9510647411292,0.0034641435750199
60,76,	06/12/2024 23:53:40.077,1145.4641,543.2359,1,6,0,0,0,0,0,0,0,0,-0.2117538,3.847086,-0.8146350794268,1.046657e-10,0.027929,4.066819e-10,0.1076991,,-6.74862676532e-05,,,,,,,23.99755,0.019238
61,77,	06/12/2024 23:53:50.078,1155.465,553.2368,1,6,0,0,0,0,0,0,0,0,-0.2116909,3.847466,-0.8144735402594,1.046657e-10,0.02851687,4.066819e-10,0.109961,,,,0.0,0.0,,,,24.03224,0.00413239
62,78,	06/12/2024 23:54:00.078,1165.4656,563.2374,1,6,0,0,0,0,0,0,0,0,-0.2115536,3.847434,-0.8139385134624,1.046657e-10,0.02910445,4.066819e-10,0.1122215,,-5.12082297063e-05,,,,,,,24.002533256034,0.0109499011206661
63,79,	06/12/2024 23:54:10.079,1175.466,573.2378,1,6,0,0,0,0,0,0,0,0,-0.2115612,3.845473,-0.8135528824476,1.046657e-10,0.0296924,4.066819e-10,0.1144833,,5.3855121223e-05,,,,,,,23.9803640674779,0.0101798849818081
64,80,	06/12/2024 23:54:20.079,1185.4661,583.2379,1,6,0,0,0,0,0,0,0,0,-0.2116489,3.846443,-0.8140954298627,1.046657e-10,0.03028028,4.066819e-10,0.1167446,,-5.22742011526e-05,,,,,,,23.98142,0.011518
65,81,	06/12/2024 23:54:30.079,1195.4663,593.2381,1,6,0,0,0,0,0,0,0,0,-0.2116842,3.845365,-0.814003013733,1.046657e-10,0.03086791,4.066819e-10,0.1190048,,-4.28728708357e-05,,,,,,,24.02005,0.02773046
66,82,	06/12/2024 23:54:40.080,1205.467,603.2388,1,6,0,0,0,0,0,0,0,0,-0.211669,3.845774,-0.814031136806,1.046657e-10,0.03145573,4.066819e-10,0.1212655,,-0.0003478103899396,,1.94070899486542,,,,,23.97033,-0.008054376
67,83,	06/12/2024 23:54:50.080,1215.4669,613.2387,1,6,0,0,0,0,0,0,0,0,-0.2116671,3.845373,-0.8139389513283,1.046657e-10,0.03204358,4.066819e-10,0.123526,,-4.52828498964e-05,,,,,,,23.9957215630984,-0.0006700300514733
68,84,	06/12/2024 23:55:00.080,1225.4673,623.2391,1,6,0,0,0,0,0,0,0,0,-0.2117062,3.844054,-0.8138100649348,1.046657e-10,0.03263146,4.066819e-10,0.1257865,,-4.82815012219e-05,,,,,,,23.9277503134655,-0.0015664011005171
69,85,	06/12/2024 23:55:10.081,1235.4682,633.24,1,6,0,0,0,0,0,0,0,0,-0.2114782,3.844533,-0.8130349186806,1.046657e-10,0.0332193,4.066819e-10,0.1280467,,-6.90707529429e-05,,,,,,,23.922742893695,0.0057118403321445
70,86,	06/12/2024 23:55:20.081,1245.4682,643.24,1,6,0,0,0,0,0,0,0,0,-0.211731,3.844547,-0.814009780857,1.046657e-10,0.03380677,4.066819e-10,0.1303053,,-7.51077095628e-05,,,,,,,23.8826259809782,-0.0170097463071357
71,87,	06/12/2024 23:55:30.081,1255.4685,653.2403,1,6,0,0,0,0,0,0,0,0,-0.2117672,3.844179,-0.8140710231288,1.046657e-10,0.03439463,4.066819e-10,0.1325651,,-0.0004099456127732,,,,,,,23.8579275694071,-0.0105226688603614
72,88,	06/12/2024 23:55:40.081,1265.4686,663.2404,1,6,0,0,0,0,0,0,0,0,-0.2117062,3.843813,-0.8137590437406,1.046657e-10,0.03498241,4.066819e-10,0.1348244,,-2.89622003037e-05,,,,,,,23.8486538860961,-0.0050414156669458
73,89,	06/12/2024 23:55:50.083,1275.4701,673.2419,1,6,0,0,0,0,0,0,0,0,-0.2118025,3.843628,-0.81409001947,1.046657e-10,0.03557035,4.066819e-10,0.1370842,,-4.21221011492e-05,,,0.0,,,,23.8149779825471,-0.0120877515064077
74,90,	06/12/2024 23:56:00.084,1285.471,683.2428,1,6,0,0,0,0,0,0,0,0,-0.2116919,3.843073,-0.8135474252087,1.046657e-10,0.03615822,4.066819e-10,0.1393435,,-0.0001083047973224,,,,,,,23.8042622684236,-0.025055874854056
75,91,	06/12/2024 23:56:10.084,1295.471,693.2428,1,6,0,0,0,0,0,0,0,0,-0.2117004,3.842695,-0.813500068578,1.046657e-10,0.03674572,4.066819e-10,0.1416011,,-0.0168790500611067,,,,,,,23.8350426456617,0.0042429616690134
76,92,	06/12/2024 23:56:20.085,1305.4722,703.244,1,6,0,0,0,0,0,0,0,0,-0.2115564,3.842559,-0.8129179488276,1.046657e-10,0.03733358,4.066819e-10,0.1438599,,,,,,,,,23.78995,-0.003138781
77,93,	06/12/2024 23:56:30.086,1315.4732,713.245,1,6,0,0,0,0,0,0,0,0,-0.2114239,3.841921,-0.8122739213119,1.046657e-10,0.03792141,4.066819e-10,0.1461185,,-0.0011769699631258,,,,,,,23.7516330735606,-0.0090622309630736
78,94,	06/12/2024 23:56:40.086,1325.4733,723.2451,1,6,0,0,0,0,0,0,0,0,-0.211503,3.840898,-0.812361449694,1.046657e-10,0.03850931,4.066819e-10,0.148377,,-4.35823203588e-05,,0.0,,,,,23.75415,0.001785159
79,95,	06/12/2024 23:56:50.088,1335.4749,733.2467,1,6,0,0,0,0,0,0,0,0,-0.211441,3.841706,-0.812294158346,1.046657e-10,0.03909718,4.066819e-10,0.1506353,,-4.67448699055e-05,,,,,,,23.73445,-0.004474521
80,96,	06/12/2024 23:57:00.088,1345.4751,743.2469,1,6,0,0,0,0,0,0,0,0,-0.2114611,3.839952,-0.8120004738672,1.046657e-10,0.03968507,4.066819e-10,0.1528935,,-5.62226014153e-05,,,,,,,23.665,0.01084924
81,97,	06/12/2024 23:57:10.088,1355.4757,753.2475,1,6,0,0,0,0,0,0,0,0,-0.2113352,3.840674,-0.8116696079248,1.046657e-10,0.04027262,4.066819e-10,0.1551501,,-0.0001009750994853,,,,,,,23.6854360444311,0.0010193377187844
82,98,	06/12/2024 23:57:20.089,1365.4762,763.248,1,6,0,0,0,0,0,0,0,0,-0.2114906,3.840368,-0.8122017325408,1.046657e-10,0.04086044,4.066819e-10,0.1574076,,,,1.72549998760223,0.545395493507385,,,,23.62742,-0.01386464
83,99,	06/12/2024 23:57:30.089,1375.4767,773.2485,1,6,0,0,0,0,0,0,0,0,-0.2113867,3.840338,-0.8117963767046,1.046657e-10,0.04144835,4.066819e-10,0.1596652,,-0.0004701697907876,,,,,,,23.60949,0.008047819
84,100,	06/12/2024 23:57:40.091,1385.4778,783.2496,1,6,0,0,0,0,0,0,0,0,-0.2114611,3.839408,-0.8118854390288,1.046657e-10,0.04203624,4.066819e-10,0.1619225,,-3.88806511182e-05,,,,,,,23.6291959699542,-0.0128678376269975
85,101,	06/12/2024 23:57:50.091,1395.4785,793.2503,1,6,0,0,0,0,0,0,0,0,-0.2117338,3.839017,-0.8128496576746,1.046657e-10,0.0426241,4.066819e-10,0.1641795,,-7.10824533598e-05,,,,,,,23.59625,-0.02405763
86,102,	06/12/2024 23:58:00.092,1405.4789,803.2507,1,6,0,0,0,0,0,0,0,0,-0.2120314,3.839016,-0.8139919371024,1.046657e-10,0.04321168,4.066819e-10,0.1664352,,,,,,,,,23.61383,0.004148483
87,103,	06/12/2024 23:58:10.092,1415.4791,813.2509,1,6,0,0,0,0,0,0,0,0,-0.2116547,3.838655,-0.8124693724285,1.046657e-10,0.04379959,4.066819e-10,0.168692,,-5.87570684729e-05,,,,,,,23.5980645802585,-0.0017856958168693
88,104,	06/12/2024 23:58:20.092,1425.4792,823.251,1,6,0,0,0,0,0,0,0,0,-0.211875,3.838143,-0.813206548125,1.046657e-10,0.04438748,4.066819e-10,0.1709485,,2.53273192356e-05,,,,,,,23.55364,-0.0007861853
89,105,	06/12/2024 23:58:30.092,1435.4792,833.251,1,6,0,0,0,0,0,0,0,0,-0.2115736,3.838066,-0.8120334406576,1.046657e-10,0.04497541,4.066819e-10,0.173205,,1.91634208022e-05,,,,,,,23.5457745384935,-0.0053679484908397
90,106,	06/12/2024 23:58:40.092,1445.4794,843.2512,1,6,0,0,0,0,0,0,0,0,-0.2118254,3.836558,-0.8126804329732,1.046657e-10,0.045563,4.066819e-10,0.17546,,-6.5230859036e-05,,,,,,,23.5092204887825,-0.006376494813164
91,107,	06/12/2024 23:58:50.092,1455.4795,853.2513,1,6,0,0,0,0,0,0,0,0,-0.2116022,3.837143,-0.8119479005146,1.046657e-10,0.0461509,4.066819e-10,0.1777159,,-5.77697101107e-05,,,,,,,23.53215,0.0008922815
92,108,	06/12/2024 23:59:00.093,1465.4801,863.2519,1,6,0,0,0,0,0,0,0,0,-0.2115898,3.836445,-0.811752630261,1.046657e-10,0.04673878,4.066819e-10,0.1799715,,,,,,,,,23.4644610497737,-0.0088362913080603
93,109,	06/12/2024 23:59:10.093,1475.4803,873.2521,1,6,0,0,0,0,0,0,0,0,-0.2115879,3.836728,-0.8118052203912,1.046657e-10,0.04732658,4.066819e-10,0.1822267,,-5.71703603782e-05,,,,,,,23.4974113983946,-0.0089538085639752
94,110,	06/12/2024 23:59:20.094,1485.4814,883.2532,1,6,0,0,0,0,0,0,0,0,-0.2116785,3.836557,-0.8121166309245,1.046657e-10,0.04791411,4.066819e-10,0.1844805,,-0.0001196900993818,,0.0,0.0,,,,23.45514,-0.003026128
95,111,	06/12/2024 23:59:30.095,1495.4824,893.2542,1,6,0,0,0,0,0,0,0,0,-0.2115221,3.83672,-0.811551071512,1.046657e-10,0.04850204,4.066819e-10,0.1867357,,1.1102280041e-05,,1.31039094924927,,,,,23.43257,-0.006946921
96,112,	06/12/2024 23:59:36.844,1502.2312,900.003,1,6,0,0,0,0,0,0,0,0,-0.05157375,3.848889,-0.19850163906375,1.046657e-10,0.04889867,4.066819e-10,0.1882571,,0.0067509999498724,,-0.0319804511964321,-1.20168602466583,,,,23.4863120698906,0.015334752850246
97,113,	06/12/2024 23:59:46.844,1512.2313,910.0031,1,6,0,0,0,0,0,0,0,0,-4.1008e-05,3.855599,-0.000158110403792,6.892014e-07,0.04889882,2.656664e-06,0.1882576,,0.0001929052959894,,,,,,,23.46553,0.01656651
98,114,	06/12/2024 23:59:56.845,1522.232,920.0038,1,6,0,0,0,0,0,0,0,0,0.0001754761,3.855988,0.0006766337358868,1.435909e-06,0.04889884,5.535697e-06,0.1882577,,7.88670004112e-05,,,,,,,23.46159,-0.0004518032
99,115,	06/13/2024 00:00:06.845,1532.2321,930.0039,1,6,0,0,0,0,0,0,0,0,2.098083e-05,3.856507,8.09127177608e-05,2.105675e-06,0.04889888,8.118444e-06,0.1882579,,,,,,,,,23.4350855616726,-0.0165663538249773
