,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/24/2024 12:14:23.361,252.246,10.0002,1,6,0,0,0,-0.0611124,3.881902,-0.237232348,1.1346e-07,1.64e-05,4.4103e-07,6.36779e-05,,-0.000178128,,,,,,,26.24105283,0.010205514
12,22,	03/24/2024 12:16:23.369,372.2537,130.0079,1,6,0,0,0,-0.1403046,3.871354,-0.543168774,1.1346e-07,0.003542921,4.4103e-07,0.01373159,,4.02994e-05,,,,,,,26.05873553,-0.01694366
13,23,	03/24/2024 12:16:33.370,382.2548,140.009,1,6,0,0,0,-0.1496077,3.870767,-0.579096548,1.1346e-07,0.003944586,4.4103e-07,0.01528648,,,,0.454944789,0.0,,,,26.09848,0.01119256
14,24,	03/24/2024 12:16:43.370,392.2549,150.0091,1,6,0,0,0,-0.1595869,3.869193,-0.617472516,1.1346e-07,0.004372577,4.4103e-07,0.01694278,,-0.00011661,,,2.560106039,,,,26.08129137,0.005981378
15,25,	03/24/2024 12:16:53.372,402.2563,160.0105,1,6,0,0,0,-0.1699619,3.868227,-0.657451211,1.1346e-07,0.00482885,4.4103e-07,0.01870799,,-0.000167045,,,,,,,26.05503,-0.008206964
16,26,	03/24/2024 12:17:03.372,412.2566,170.0108,1,6,0,0,0,-0.1812668,3.866951,-0.700949834,1.1346e-07,0.00531569,4.4103e-07,0.02059083,,-0.000187296,,,,,,,26.01863707,0.008677671
17,27,	03/24/2024 12:17:13.372,422.257,180.0112,1,6,0,0,0,-0.1931849,3.865487,-0.74675372,1.1346e-07,0.005834924,4.4103e-07,0.02259824,,,,0.362154007,,,,,26.02106855,0.013122514
18,28,	03/24/2024 12:17:23.373,432.2577,190.0119,1,6,0,0,0,-0.2062464,3.86397,-0.796929902,1.1346e-07,0.006388295,4.4103e-07,0.02473682,,-0.000173228,,,,,,,26.00809,0.01083434
19,29,	03/24/2024 12:17:33.375,442.2594,200.0136,1,6,0,0,0,-0.2196255,3.862741,-0.848356423,1.1346e-07,0.006978549,4.4103e-07,0.02701701,,-0.000153905,,,,,,,25.93683123,-0.015657875
20,30,	03/24/2024 12:17:43.376,452.2602,210.0144,1,6,0,0,0,-0.2333622,3.860663,-0.900932811,1.1346e-07,0.007606997,4.4103e-07,0.02944374,,-6.17966e-05,,0.337204695,,,,,26.01394,0.000989437
21,31,	03/24/2024 12:17:53.376,462.2603,220.0145,1,6,0,0,0,-0.2485075,3.858993,-0.958988703,1.1346e-07,0.008275926,4.4103e-07,0.03202562,,-0.000125094,,,,,,,25.98470526,0.006052801
22,32,	03/24/2024 12:18:03.377,472.2612,230.0154,1,6,0,0,0,-0.2641983,3.857237,-1.019075458,1.1346e-07,0.008987171,4.4103e-07,0.03476955,,-0.000200814,,,2.375595093,,,,25.94664,0.006523132
23,33,	03/24/2024 12:18:13.377,482.262,240.0162,1,6,0,0,0,-0.2804804,3.855095,-1.081278588,1.1346e-07,0.009742763,4.4103e-07,0.03768313,,-0.000227552,,0.395216405,,,,,25.9243,-0.00068903
24,34,	03/24/2024 12:18:23.378,492.2627,250.0169,1,6,0,0,0,-0.2975597,3.853053,-1.146513295,1.1346e-07,0.01054423,4.4103e-07,0.04077201,,-0.000204561,,,,,,,25.89972139,-0.013425819
25,35,	03/24/2024 12:18:33.379,502.264,260.0182,1,6,0,0,0,-0.315587,3.85074,-1.215243484,1.1346e-07,0.01139464,4.4103e-07,0.04404775,,0.02723767,,0.416528404,,,,,25.90631,0.0
26,36,	03/24/2024 12:18:43.380,512.2648,270.019,1,6,0,0,0,-0.3339825,3.848864,-1.285453221,1.1346e-07,0.01229517,4.4103e-07,0.0475146,,-0.000183788,,,,,,,25.94122,0.01459122
27,37,	03/24/2024 12:18:53.380,522.2648,280.019,1,6,0,0,0,-0.32055,3.849014,-1.233801438,1.1346e-07,0.01321742,4.4103e-07,0.05106387,,-0.000212307,,,2.441687107,,,,25.92939198,-0.001007759
28,38,	03/24/2024 12:19:03.380,532.265,290.0192,1,6,0,0,0,-0.3333082,3.847158,-1.282289308,1.1346e-07,0.01412469,4.4103e-07,0.05455548,,0.007139781,,,,,,,25.95026758,0.0044542
29,39,	03/24/2024 12:19:13.381,542.2654,300.0196,1,6,0,0,0,-0.2950029,3.850722,-1.135974157,1.1346e-07,0.0149958,4.4103e-07,0.05790843,,0.000174858,,,,,,,25.88197,-0.01758814
30,40,	03/24/2024 12:19:23.381,552.2654,310.0196,1,6,0,0,0,-0.2973976,3.849614,-1.144865965,1.1346e-07,0.01581846,4.4103e-07,0.06107601,,-4.87605e-05,,,,,,,25.86674,0.005621314
31,41,	03/24/2024 12:19:33.381,562.2656,320.0198,1,6,0,0,0,-0.3103848,3.848865,-1.194629193,1.1346e-07,0.01666651,4.4103e-07,0.06434038,,-9.54996e-05,,,,,,,25.91463423,0.00745235
32,42,	03/24/2024 12:19:43.381,572.2657,330.0199,1,6,0,0,0,-0.3154039,3.847117,-1.213395706,1.1346e-07,0.01753511,4.4103e-07,0.06768291,,,,,,,,,25.87876928,-0.007680503
33,43,	03/24/2024 12:19:53.382,582.2666,340.0208,1,6,0,0,0,-0.3202524,3.847092,-1.232040446,1.1346e-07,0.01841611,4.4103e-07,0.07107243,,-0.000131757,,,,,,,25.8257,0.003299117
34,44,	03/24/2024 12:20:03.384,592.2682,350.0224,1,6,0,0,0,-0.3143969,3.848386,-1.209920628,1.1346e-07,0.01930876,4.4103e-07,0.07450605,,,,1.531412005,,,,,25.82687186,-0.001228406
35,45,	03/24/2024 12:20:13.384,602.2688,360.023,1,6,0,0,0,-0.3131199,3.848371,-1.205001543,1.1346e-07,0.0201769,4.4103e-07,0.07784573,,-6.73327e-05,,,,,,,25.7942,0.004527569
36,46,	03/24/2024 12:20:23.387,612.2711,370.0253,1,6,0,0,0,-0.2951155,3.848095,-1.13563248,1.1346e-07,0.02103785,4.4103e-07,0.0811576,,-7.44762e-05,,-0.322027296,,,,,25.77920547,0.005058045
37,47,	03/24/2024 12:20:33.387,622.2718,380.026,1,6,0,0,0,-0.2907076,3.847053,-1.118367545,1.1346e-07,0.02185108,4.4103e-07,0.08428694,,0.000120717,,,,,,,25.79663,0.01742661
38,48,	03/24/2024 12:20:43.388,632.2724,390.0266,1,6,0,0,0,-0.2879143,3.848245,-1.107964765,1.1346e-07,0.02265505,4.4103e-07,0.0873806,,-1.56063e-05,,,,,,,25.75292,-0.01121163
39,49,	03/24/2024 12:20:53.389,642.2737,400.0279,1,6,0,0,0,-0.2845402,3.848108,-1.09494142,1.1346e-07,0.02345045,4.4103e-07,0.09044134,,-7.82342e-06,,,0.0,,,,25.80622,0.003934503
40,50,	03/24/2024 12:21:03.389,652.2739,410.0281,1,6,0,0,0,-0.2577763,3.850102,-0.992465048,1.1346e-07,0.02420511,4.4103e-07,0.09334601,,0.000767475,,,,,,,25.78729839,0.009983121
41,51,	03/24/2024 12:21:13.390,662.2742,420.0284,1,6,0,0,0,-0.2495136,3.85073,-0.960809505,1.1346e-07,0.02490978,4.4103e-07,0.09605929,,,,,,,,,25.75068701,-0.005226579
42,52,	03/24/2024 12:21:23.391,672.2753,430.0295,1,6,0,0,0,-0.2664194,3.84914,-1.025485569,1.1346e-07,0.02563518,4.4103e-07,0.09885176,,-0.001016508,,,,,,,25.74822,0.00721395
43,53,	03/24/2024 12:21:33.392,682.2762,440.0304,1,6,0,0,0,-0.2633781,3.848836,-1.013699113,1.1346e-07,0.02637078,4.4103e-07,0.101683,,-9.16744e-06,,,,,,,25.71503863,-0.014357351
44,54,	03/24/2024 12:21:43.392,692.2769,450.0311,1,6,0,0,0,-0.2604589,3.849281,-1.002579495,1.1346e-07,0.02709803,4.4103e-07,0.1044821,,-0.01170983,,,,,,,25.76121475,0.01965608
45,55,	03/24/2024 12:21:53.393,702.2777,460.0319,1,6,0,0,0,-0.2574291,3.848334,-0.990673158,1.1346e-07,0.02781704,4.4103e-07,0.1072496,,,,,,,,,25.71014,-0.001997948
46,56,	03/24/2024 12:22:03.394,712.279,470.0332,1,6,0,0,0,-0.2545357,3.84912,-0.979738454,1.1346e-07,0.0285277,4.4103e-07,0.1099848,,-0.000564114,,,,,,,25.75385241,0.008672369
47,57,	03/24/2024 12:22:13.396,722.2804,480.0346,1,6,0,0,0,-0.2936478,3.844605,-1.1289598,1.1346e-07,0.0292511,4.4103e-07,0.1127686,,-0.000439254,,1.626984954,,,,,25.68929,-0.004456043
48,58,	03/24/2024 12:22:23.397,732.2811,490.0353,1,6,0,0,0,-0.3026075,3.843906,-1.163194785,1.1346e-07,0.03008123,4.4103e-07,0.1159599,,,,,,,,,25.74259,-0.001989007
49,59,	03/24/2024 12:22:33.397,742.2819,500.0361,1,6,0,0,0,-0.3301964,3.840159,-1.268006677,1.1346e-07,0.03094949,4.4103e-07,0.1192963,,-9.62372e-05,,0.297891915,,,,,25.73130047,0.005454943
50,60,	03/24/2024 12:22:43.398,752.2825,510.0367,1,6,0,0,0,-0.3414478,3.838377,-1.310605382,1.1346e-07,0.03188173,4.4103e-07,0.1228761,,-0.000104367,,,,,,,25.72884,-0.006225109
51,61,	03/24/2024 12:22:53.398,762.2828,520.037,1,6,0,0,0,-0.3533459,3.837956,-1.356126017,1.1346e-07,0.032846,4.4103e-07,0.1265774,,-0.000190178,,,0.555008471,,,,25.70428301,-0.001157573
52,62,	03/24/2024 12:23:03.399,772.2839,530.0381,1,6,0,0,0,-0.3651171,3.836543,-1.400787454,1.1346e-07,0.0338432,4.4103e-07,0.1304035,,-7.89895e-05,,,,,,,25.73280115,-0.001758331
53,63,	03/24/2024 12:23:13.400,782.2848,540.039,1,6,0,0,0,-0.3207369,3.839775,-1.23155753,1.1346e-07,0.03477776,4.4103e-07,0.1339906,,0.000266662,,-0.05314552,,,,,25.73577,-0.008515716
54,64,	03/24/2024 12:23:23.401,792.2857,550.0399,1,6,0,0,0,-0.3202868,3.839306,-1.229679033,1.1346e-07,0.03566751,4.4103e-07,0.1374066,,,,,,,,,25.7254449,-0.007682451
55,65,	03/24/2024 12:23:33.402,802.2863,560.0405,1,6,0,0,0,-0.281146,3.842509,-1.080306035,1.1346e-07,0.03647652,4.4103e-07,0.1405146,,0.000614127,,,,,,,25.74855972,0.00622497
56,66,	03/24/2024 12:23:43.402,812.2868,570.041,1,6,0,0,0,-0.2732077,3.84314,-1.04997544,1.1346e-07,0.03724736,4.4103e-07,0.1434768,,6.53175e-05,,-0.485566497,,,,,25.76748448,0.005455621
57,67,	03/24/2024 12:23:53.403,822.2877,580.0419,1,6,0,0,0,-0.2655506,3.843559,-1.020659399,1.1346e-07,0.03799628,4.4103e-07,0.1463551,,-1.12602e-05,,,-1.839648962,,,,25.71585516,-0.012907202
58,68,	03/24/2024 12:24:03.404,832.2884,590.0426,1,6,0,0,0,-0.2650452,3.843685,-1.01875026,1.1346e-07,0.03872669,4.4103e-07,0.1491625,,,,,,,,,25.73948,0.000699163
59,69,	03/24/2024 12:24:13.405,842.2891,600.0433,1,6,0,0,0,-0.2599115,3.843697,-0.999021053,1.1346e-07,0.03945601,4.4103e-07,0.1519656,,1.31577e-05,,,,,,,25.70213927,-0.013138513
60,70,	03/24/2024 12:24:23.406,852.291,610.0452,1,6,0,0,0,-0.2699175,3.843015,-1.037297001,1.1346e-07,0.04018333,4.4103e-07,0.154761,,1.93224e-05,,,,,,,25.75300166,0.00575464
61,71,	03/24/2024 12:24:33.408,862.2921,620.0463,1,6,0,0,0,-0.2678194,3.842079,-1.028983293,1.1346e-07,0.04093082,4.4103e-07,0.1576331,,-7.60158e-05,,,,,,,25.7928,0.01343608
62,72,	03/24/2024 12:24:43.408,872.2927,630.0469,1,6,0,0,0,-0.2656193,3.842311,-1.020591958,1.1346e-07,0.041672,4.4103e-07,0.1604809,,-0.006649715,,,,,,,25.70662012,-0.005214028
63,73,	03/24/2024 12:24:53.408,882.293,640.0472,1,6,0,0,0,-0.263608,3.843122,-1.013077704,1.1346e-07,0.04240714,4.4103e-07,0.1633054,,8.13215e-05,,,,,,,25.75428343,0.012667
64,74,	03/24/2024 12:24:56.424,885.3085,643.0627,1,6,0,0,0,-0.3642969,3.832759,-1.396262222,1.1346e-07,0.04263258,4.4103e-07,0.1641714,,,,0.005041893,2.458802938,,,,25.76704,0.003985763
65,75,	03/24/2024 12:24:58.272,887.1564,644.9106,1,6,0,0,0,-0.4676456,3.822603,-1.787623473,1.1346e-07,0.04284922,4.4103e-07,0.1650006,,-0.004060486,,0.023895981,54.99134064,,,,25.73981,-0.008509755
66,76,	03/24/2024 12:25:08.273,897.1576,654.9118,1,6,0,0,0,-0.5512552,3.814588,-2.102811471,1.1346e-07,0.04430091,4.4103e-07,0.1705429,,-0.000956771,,0.0983686,7.292776108,,,,25.7413101,0.003158333
67,77,	03/24/2024 12:25:12.350,901.235,658.9892,1,6,0,0,0,-0.4485025,3.825141,-1.715585301,1.1346e-07,0.04488362,4.4103e-07,0.1727671,,0.001425407,,-0.038752321,-18.09516907,,,,25.73025,-0.00023067
68,78,	03/24/2024 12:25:22.351,911.2355,668.9897,1,6,0,0,0,-0.3607397,3.830288,-1.381736944,1.1346e-07,0.04594463,4.4103e-07,0.1768294,,0.000401745,,-0.156044006,,,,,25.71918308,-0.001460898
69,79,	03/24/2024 12:25:32.351,921.2358,678.99,1,6,0,0,0,-0.2941065,3.836799,-1.128427525,1.1346e-07,0.0468394,4.4103e-07,0.1802597,,0.000513142,,-0.135524005,-6.786426067,,,,25.71205337,-0.000989442
70,80,	03/24/2024 12:25:42.352,931.2361,688.9903,1,6,0,0,0,-0.2796574,3.837646,-1.073226102,1.1346e-07,0.04763531,4.4103e-07,0.1833137,,0.000139125,,,,,,,25.73812,0.005215406
71,81,	03/24/2024 12:25:52.353,941.2379,698.9921,1,6,0,0,0,-0.2659674,3.838794,-1.020994059,1.1346e-07,0.048392,4.4103e-07,0.186218,,7.49892e-05,,,,,,,25.73569,-0.000759363
72,82,	03/24/2024 12:26:02.355,951.2394,708.9936,1,6,0,0,0,-0.25212,3.839937,-0.968124916,1.1346e-07,0.04911046,4.4103e-07,0.1889764,,7.56263e-05,,,,,,,25.7152197,0.003285368
73,83,	03/24/2024 12:26:12.355,961.2396,718.9938,1,6,0,0,0,-0.2273941,3.841945,-0.873635626,1.1346e-07,0.04978494,4.4103e-07,0.1915669,,,,-0.574350715,-2.916606903,,,,25.62907,-0.01542568
74,84,	03/24/2024 12:26:22.356,971.2402,728.9944,1,6,0,0,0,-0.2109089,3.84369,-0.81066843,1.1346e-07,0.05039193,4.4103e-07,0.1938993,,0.000123491,,,,,,,25.71407996,0.009209267
75,85,	03/24/2024 12:26:32.356,981.2407,738.9949,1,6,0,0,0,-0.2765417,3.837472,-1.061221031,1.1346e-07,0.05103298,4.4103e-07,0.1963618,,-0.00085191,,0.207731396,,,,,25.69419881,0.002698963
76,86,	03/24/2024 12:26:42.358,991.2423,748.9965,1,6,0,0,0,-0.2801847,3.835856,-1.074748163,1.1346e-07,0.05180781,4.4103e-07,0.1993347,,-0.000125614,,,,,,,25.70449056,-0.003457008
77,87,	03/24/2024 12:26:52.358,1001.2423,758.9965,1,6,0,0,0,-0.2822495,3.835427,-1.082547353,1.1346e-07,0.05258904,4.4103e-07,0.2023317,,,,,,,,,25.71239273,-0.004983529
78,88,	03/24/2024 12:27:02.358,1011.2425,768.9967,1,6,0,0,0,-0.2846317,3.835462,-1.091694069,1.1346e-07,0.05337617,4.4103e-07,0.2053509,,-0.000175863,,,3.284610987,,,,25.66620491,-0.01089865
79,89,	03/24/2024 12:27:12.358,1021.2426,778.9968,1,6,0,0,0,-0.3461466,3.828778,-1.325318487,1.1346e-07,0.05427402,4.4103e-07,0.208791,,-0.000150551,,0.523920894,,,,,25.721,-0.008451939
80,90,	03/24/2024 12:27:22.359,1031.2432,788.9974,1,6,0,0,0,-0.3607903,3.827375,-1.380879774,1.1346e-07,0.05525643,4.4103e-07,0.2125519,,-0.000723698,,0.157167196,,,,,25.6844,-0.00638783
81,91,	03/24/2024 12:27:32.359,1041.2435,798.9977,1,6,0,0,0,-0.2864704,3.833636,-1.098223238,1.1346e-07,0.0560897,4.4103e-07,0.2157453,,0.000885896,,-0.188811705,,,,,25.73602,0.003993511
82,92,	03/24/2024 12:27:42.361,1051.2453,808.9995,1,6,0,0,0,-0.2834911,3.833762,-1.086837407,1.1346e-07,0.05688144,4.4103e-07,0.2187805,,3.72594e-05,,,,,,,25.74611,0.00797987
83,93,	03/24/2024 12:27:52.362,1061.2463,819.0005,1,6,0,0,0,-0.2804184,3.834087,-1.075148542,1.1346e-07,0.05766471,4.4103e-07,0.2217833,,-1.80966e-05,,,,,,,25.75962816,-0.002930651
84,94,	03/24/2024 12:28:00.370,1069.2544,827.0086,1,6,0,0,0,-0.4187946,3.821465,-1.600408906,1.1346e-07,0.05829722,4.4103e-07,0.2242077,,-0.001168573,,0.52125001,2.212770939,,,,25.76826,-0.003512502
85,95,	03/24/2024 12:28:02.627,1071.5112,829.2654,1,6,0,0,0,-0.5106487,3.81118,-1.946174112,1.1346e-07,0.05859097,4.4103e-07,0.2253288,,-0.003466954,,0.021616491,,,,,25.73803,-0.009447932
86,96,	03/24/2024 12:28:12.628,1081.5121,839.2663,1,6,0,0,0,-0.433589,3.817908,-1.655402912,1.1346e-07,0.06005063,4.4103e-07,0.2308903,,0.002524175,,-0.03010809,34.89276886,,,,25.77146,-0.002985001
87,97,	03/24/2024 12:28:22.628,1091.5122,849.2664,1,6,0,0,0,-0.3605442,3.824354,-1.378848653,1.1346e-07,0.06110496,4.4103e-07,0.2349202,,0.000219267,,-0.133238301,-6.240359783,,,,25.78888,0.000460744
88,98,	03/24/2024 12:28:32.629,1101.5136,859.2678,1,6,0,0,0,-0.3576736,3.823818,-1.36767875,1.1346e-07,0.06210017,4.4103e-07,0.2387258,,,,,,,,,25.79601,-0.01413465
89,99,	03/24/2024 12:28:42.629,1111.5139,869.2681,1,6,0,0,0,-0.2701979,3.831603,-1.035291084,1.1346e-07,0.06298069,4.4103e-07,0.2420955,,0.001495415,,-0.347348392,-4.078649044,,,,25.84029153,-0.005222648
90,100,	03/24/2024 12:28:52.630,1121.5148,879.269,1,6,0,0,0,-0.2500505,3.833419,-0.958548338,1.1346e-07,0.06370229,4.4103e-07,0.2448609,,0.000201529,,,,,,,25.86677,0.007736683
91,101,	03/24/2024 12:29:02.630,1131.515,889.2692,1,6,0,0,0,-0.2925653,3.829347,-1.120334054,1.1346e-07,0.06447779,4.4103e-07,0.2478314,,-0.001223301,,,,,,,25.86017,-0.004992485
92,102,	03/24/2024 12:29:12.631,1141.5158,899.27,1,6,0,0,0,-0.2861862,3.829659,-1.095995557,1.1346e-07,0.06528113,4.4103e-07,0.2509077,,-5.61501e-05,,,,,,,25.84425561,-0.001220145
