,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 12:00:03.122,252.239,10.0004,1,6,0,0,0,-0.06624699,3.881408,-0.257131597,1.09e-07,1.94e-05,4.23e-07,7.51e-05,,-0.00011815,,,,,,,26.11089115,0.00867306
11,21,	03/23/2024 12:01:53.131,362.2478,120.0092,1,6,0,0,0,-0.1380692,3.871694,-0.534561693,1.09e-07,0.003293834,4.23e-07,0.01276609,,-0.000126004,,,,,,,26.21680675,0.003512658
12,22,	03/23/2024 12:02:03.132,372.2487,130.0101,1,6,0,0,0,-0.1470032,3.871269,-0.569088931,1.09e-07,0.003689285,4.23e-07,0.01429704,,-0.000171402,,,,,,,26.281833,0.021840151
13,23,	03/23/2024 12:02:13.132,382.2493,140.0107,1,6,0,0,0,-0.1567535,3.870012,-0.606637926,1.09e-07,0.004110723,4.23e-07,0.01592813,,-0.000113532,,0.40221101,0.0,,,,26.25316,-0.000231862
14,24,	03/23/2024 12:02:23.133,392.25,150.0114,1,6,0,0,0,-0.1673212,3.868457,-0.647274867,1.09e-07,0.004560404,4.23e-07,0.01766798,,-0.000189886,,,2.349306107,,,,26.27848981,0.015171612
15,25,	03/23/2024 12:02:33.134,402.2511,160.0125,1,6,0,0,0,-0.1788692,3.866879,-0.691665553,1.09e-07,0.005040597,4.23e-07,0.01952526,,-0.000159833,,,,,,,26.25056,0.003929734
16,26,	03/23/2024 12:02:43.135,412.252,170.0134,1,6,0,0,0,-0.1907959,3.865777,-0.737574402,1.09e-07,0.005553105,4.23e-07,0.02150682,,6.48e-06,,,,,,,26.25768273,-0.004740867
17,27,	03/23/2024 12:02:53.136,422.2536,180.015,1,6,0,0,0,-0.2040281,3.864596,-0.788486179,1.09e-07,0.006100538,4.23e-07,0.02362261,,-0.000164521,,0.401292592,,,,,26.27737598,0.00814723
18,28,	03/23/2024 12:03:03.137,432.2542,190.0156,1,6,0,0,0,-0.2172909,3.862688,-0.839326952,1.09e-07,0.006684715,4.23e-07,0.0258795,,-8.65e-05,,,,,,,26.2788658,0.012357193
19,29,	03/23/2024 12:03:13.137,442.2545,200.0159,1,6,0,0,0,-0.2321205,3.86147,-0.896326347,1.09e-07,0.007308061,4.23e-07,0.02828667,,-4.47e-05,,,,,,,26.24158,-0.000520945
20,30,	03/23/2024 12:03:23.137,452.2546,210.016,1,6,0,0,0,-0.2471113,3.859112,-0.953630183,1.09e-07,0.007972463,4.23e-07,0.03085122,,-0.000204509,,0.36180979,2.878629923,,,,26.21291,0.007431507
21,31,	03/23/2024 12:03:33.139,462.2564,220.0178,1,6,0,0,0,-0.2627029,3.857259,-1.013313125,1.09e-07,0.008680122,4.23e-07,0.03358145,,-0.000213991,,,,,,,26.17096,0.006213188
22,32,	03/23/2024 12:03:43.139,472.2566,230.018,1,6,0,0,0,-0.2800674,3.855251,-1.079730124,1.09e-07,0.009432729,4.23e-07,0.03648362,,-0.000193229,,,,,,,26.13062899,-0.00445236
23,33,	03/23/2024 12:03:53.140,482.2573,240.0187,1,6,0,0,0,-0.2971649,3.852059,-1.144696728,1.09e-07,0.01023317,4.23e-07,0.03956861,,,,0.352438986,,,,,26.14019575,0.015927349
24,34,	03/23/2024 12:04:03.141,492.2581,250.0195,1,6,0,0,0,-0.3159542,3.851013,-1.216743732,1.09e-07,0.01108344,4.23e-07,0.04284383,,-0.000268685,,,,,,,26.08955434,-0.007917047
25,35,	03/23/2024 12:04:13.142,502.2591,260.0205,1,6,0,0,0,-0.3346758,3.847911,-1.287802692,1.09e-07,0.01198542,4.23e-07,0.04631619,,-0.00027273,,0.39832139,2.591530085,,,,26.05697,-0.001993775
26,36,	03/23/2024 12:04:23.143,512.2601,270.0215,1,6,0,0,0,-0.3231525,3.849049,-1.243829807,1.09e-07,0.01292218,4.23e-07,0.04992087,,0.027539991,,,,,,,26.04212966,-0.003930907
27,37,	03/23/2024 12:04:33.143,522.2604,280.0218,1,6,0,0,0,-0.3347225,3.844932,-1.286985251,1.09e-07,0.0138336,4.23e-07,0.0534283,,-0.00033811,,,,,,,26.01026,0.009428859
28,38,	03/23/2024 12:04:43.144,532.2612,290.0226,1,6,0,0,0,-0.3485489,3.845934,-1.340496065,1.09e-07,0.01478137,4.23e-07,0.05707406,,-0.000171244,,,,,,,25.96995,-0.01312852
29,39,	03/23/2024 12:04:53.145,542.2618,300.0232,1,6,0,0,0,-0.3330021,3.847058,-1.281078393,1.09e-07,0.01572742,4.23e-07,0.06071275,,6.48e-06,,,,,,,25.93584,0.01095891
30,40,	03/23/2024 12:05:03.146,552.2629,310.0243,1,6,0,0,0,-0.3410349,3.84552,-1.311456529,1.09e-07,0.01666371,4.23e-07,0.06431378,,0.027430849,,,,,,,25.94371,0.007201433
31,41,	03/23/2024 12:05:13.147,562.2639,320.0253,1,6,0,0,0,-0.3342609,3.845903,-1.285534998,1.09e-07,0.01759513,4.23e-07,0.06789581,,-6.82e-05,,,,,,,25.91275,-0.006737709
32,42,	03/23/2024 12:05:23.147,572.2641,330.0255,1,6,0,0,0,-0.3384514,3.844793,-1.301275574,1.09e-07,0.01852936,4.23e-07,0.07148816,,-0.000100231,,1.199813008,,,,,25.8923,0.00725925
33,43,	03/23/2024 12:05:33.148,582.2652,340.0266,1,6,0,0,0,-0.3437805,3.843825,-1.32143208,1.09e-07,0.01947653,4.23e-07,0.07512945,,-0.000110485,,,,,,,25.93917,0.008256435
34,44,	03/23/2024 12:05:43.149,592.266,350.0274,1,6,0,0,0,-0.3544149,3.842686,-1.361905174,1.09e-07,0.02043887,4.23e-07,0.07882821,,,,,,,,,25.90336263,-0.003698349
35,45,	03/23/2024 12:05:53.150,602.2676,360.029,1,6,0,0,0,-0.3628244,3.841297,-1.393716279,1.09e-07,0.02143586,4.23e-07,0.08265849,,-0.000196127,,,,,,,25.88517016,-0.009860335
36,46,	03/23/2024 12:06:03.152,612.2691,370.0305,1,6,0,0,0,-0.327549,3.844152,-1.259148143,1.09e-07,0.02242938,4.23e-07,0.08647502,,-4.15e-05,,,,,,,25.8827553,0.004752728
37,47,	03/23/2024 12:06:13.152,622.2692,380.0306,1,6,0,0,0,-0.3214521,3.844393,-1.235788203,1.09e-07,0.02332832,4.23e-07,0.08993068,,-0.003406471,,,0.0,,,,25.88929,0.002982616
38,48,	03/23/2024 12:06:23.152,632.2694,390.0308,1,6,0,0,0,-0.3170261,3.844567,-1.218828082,1.09e-07,0.02421567,4.23e-07,0.09334186,,8.62e-05,,,,,,,25.8789693,-0.012189594
39,49,	03/23/2024 12:06:33.153,642.2697,400.0311,1,6,0,0,0,-0.3133392,3.84415,-1.204522886,1.09e-07,0.02509203,4.23e-07,0.09671084,,-4.86e-05,,,,,,,25.88687,-0.005731583
40,50,	03/23/2024 12:06:43.154,652.2714,410.0328,1,6,0,0,0,-0.3096437,3.843809,-1.190211241,1.09e-07,0.02595714,4.23e-07,0.1000366,,,,,,,,,25.86638,-0.007446408
41,51,	03/23/2024 12:06:53.154,662.2716,420.033,1,6,0,0,0,-0.3057003,3.843495,-1.174957575,1.09e-07,0.02681208,4.23e-07,0.1033233,,-0.000290248,,,,,,,25.92433,0.01587927
42,52,	03/23/2024 12:07:03.155,672.2717,430.0331,1,6,0,0,0,-0.3019829,3.843765,-1.160751302,1.09e-07,0.02765622,4.23e-07,0.1065684,,-0.01142074,,,,,,,25.88869321,-0.011892041
43,53,	03/23/2024 12:07:13.156,682.2732,440.0346,1,6,0,0,0,-0.2979727,3.844541,-1.145568262,1.09e-07,0.02848982,4.23e-07,0.109773,,-1.76e-05,,,,,,,25.87444,-0.009382367
44,54,	03/23/2024 12:07:23.157,692.2742,450.0356,1,6,0,0,0,-0.2945728,3.844683,-1.132539036,1.09e-07,0.02931301,4.23e-07,0.1129377,,-2.01e-05,,0.0,,,,,25.85213111,0.00421272
45,55,	03/23/2024 12:07:33.159,702.2759,460.0373,1,6,0,0,0,-0.2904739,3.844536,-1.116737366,1.09e-07,0.03012539,4.23e-07,0.1160608,,,,,,,,,25.85231,-0.009198785
46,56,	03/23/2024 12:07:43.160,712.2775,470.0389,1,6,0,0,0,-0.2871389,3.84489,-1.104017485,1.09e-07,0.03092732,4.23e-07,0.1191439,,-1.33e-05,,,,,,,25.82060464,-0.005221407
47,57,	03/23/2024 12:07:53.161,722.2779,480.0393,1,6,0,0,0,-0.2830973,3.844603,-1.088396729,1.09e-07,0.03171909,4.23e-07,0.1221878,,-3.3e-05,,,,,,,25.85791741,-0.004987719
48,58,	03/23/2024 12:08:03.161,732.2783,490.0397,1,6,0,0,0,-0.2793446,3.844936,-1.074062109,1.09e-07,0.03250001,4.23e-07,0.1251901,,5.93e-07,,,,,,,25.79362,0.00944376
49,59,	03/23/2024 12:08:13.162,742.2787,500.0401,1,6,0,0,0,-0.2758102,3.844723,-1.06041382,1.09e-07,0.03327119,4.23e-07,0.128155,,-1.82e-06,,,0.0,,,,25.81834,-0.001704693
50,60,	03/23/2024 12:08:23.162,752.2795,510.0409,1,6,0,0,0,-0.2721834,3.844901,-1.046518227,1.09e-07,0.03403206,4.23e-07,0.1310803,,-6.36e-06,,,,,,,25.82792273,0.007449297
51,61,	03/23/2024 12:08:33.163,762.2799,520.0413,1,6,0,0,0,-0.2680006,3.844806,-1.030410315,1.09e-07,0.03478287,4.23e-07,0.1339669,,,,,,,,,25.86768,0.005277395
52,62,	03/23/2024 12:08:43.163,772.28,530.0414,1,6,0,0,0,-0.2646847,3.844774,-1.017652853,1.09e-07,0.03552337,4.23e-07,0.1368139,,-2.92e-06,,,,,,,25.83486,0.01061499
53,63,	03/23/2024 12:08:53.165,782.2817,540.0431,1,6,0,0,0,-0.2612915,3.845194,-1.004716508,1.09e-07,0.03625404,4.23e-07,0.1396232,,-1.66e-05,,,,,,,25.80728,-0.008445978
54,64,	03/23/2024 12:09:03.165,792.2823,550.0437,1,6,0,0,0,-0.2572775,3.845209,-0.989285758,1.09e-07,0.03697494,4.23e-07,0.142395,,-4.42e-05,,,,,,,25.80334,-0.00398159
55,65,	03/23/2024 12:09:13.166,802.2831,560.0445,1,6,0,0,0,-0.2537088,3.84525,-0.975573763,1.09e-07,0.03768595,4.23e-07,0.1451288,,-2.95e-05,,,,,,,25.82321,-0.009443164
56,66,	03/23/2024 12:09:23.166,812.2836,570.045,1,6,0,0,0,-0.2508478,3.845179,-0.964554693,1.09e-07,0.03838719,4.23e-07,0.147825,,-0.000107878,,0.0,,,,,25.86111,0.000233054
57,67,	03/23/2024 12:09:33.166,822.2836,580.045,1,6,0,0,0,-0.2468882,3.844557,-0.949175758,1.09e-07,0.03907832,4.23e-07,0.1504825,,0.000515735,,,,,,,25.8309291,-0.010661374
58,68,	03/23/2024 12:09:43.167,832.2841,590.0455,1,6,0,0,0,-0.2504911,3.844463,-0.963003766,1.09e-07,0.03976323,4.23e-07,0.153116,,-3.11e-05,,,,,,,25.8793,-0.001240373
59,69,	03/23/2024 12:09:53.168,842.2856,600.047,1,6,0,0,0,-0.2487898,3.843814,-0.956301716,1.09e-07,0.04045738,4.23e-07,0.1557846,,-5.08e-05,,,,,,,25.85139,-0.007736087
60,70,	03/23/2024 12:10:03.170,852.2869,610.0483,1,6,0,0,0,-0.261837,3.843059,-1.006255039,1.09e-07,0.04115891,4.23e-07,0.1584812,,-7.15e-05,,,,,,,25.90294786,0.005974633
61,71,	03/23/2024 12:10:13.170,862.2871,620.0485,1,6,0,0,0,-0.2634125,3.842267,-1.012101156,1.09e-07,0.04188821,4.23e-07,0.1612837,,-0.000138527,,,,,,,25.83865039,-0.002748879
62,72,	03/23/2024 12:10:23.170,872.2875,630.0489,1,6,0,0,0,-0.2642069,3.842071,-1.015101668,1.09e-07,0.04262088,4.23e-07,0.1640988,,-6.69e-05,,,0.0,,,,25.83393483,-0.01119486
63,73,	03/23/2024 12:10:33.171,882.2883,640.0497,1,6,0,0,0,-0.2655172,3.841732,-1.020045924,1.09e-07,0.04335646,4.23e-07,0.1669248,,0.002930236,,,,,,,25.80769,-0.01318932
64,74,	03/23/2024 12:10:43.171,892.2883,650.0497,1,6,0,0,0,-0.2665977,3.841914,-1.024245436,1.09e-07,0.04409597,4.23e-07,0.1697655,,,,,,,,,25.86188644,0.001937
65,75,	03/23/2024 12:10:53.172,902.2892,660.0506,1,6,0,0,0,-0.268137,3.840904,-1.029888476,1.09e-07,0.04483894,4.23e-07,0.1726192,,-7.28e-05,,,,,,,25.8221306,-0.010429497
66,76,	03/23/2024 12:11:03.172,912.2895,670.0509,1,6,0,0,0,-0.2694111,3.839544,-1.034415773,1.09e-07,0.04558517,4.23e-07,0.1754851,,0.000458599,,,,,,,25.84277,-0.007959604
67,77,	03/23/2024 12:11:13.173,922.2897,680.0511,1,6,0,0,0,-0.2706451,3.839857,-1.039238482,1.09e-07,0.04633472,4.23e-07,0.1783634,,-6.5e-05,,,,,,,25.92206,0.01066089
68,78,	03/23/2024 12:11:23.173,932.2906,690.052,1,6,0,0,0,-0.2717361,3.839056,-1.043210105,1.09e-07,0.04708726,4.23e-07,0.1812529,,0.000333036,,0.0,,,,,25.93390262,0.0213318
69,79,	03/23/2024 12:11:33.175,942.2922,700.0536,1,6,0,0,0,-0.2731924,3.838109,-1.048542209,1.09e-07,0.0478437,4.23e-07,0.184157,,-0.000501112,,5.713265896,0.28428039,,,,25.91007638,0.004976555
70,80,	03/23/2024 12:11:43.175,952.2925,710.0539,1,6,0,0,0,-0.2741356,3.838624,-1.052303493,1.09e-07,0.04860351,4.23e-07,0.1870737,,,,,,,,,25.96393,0.01535594
71,81,	03/23/2024 12:11:53.178,962.295,720.0564,1,6,0,0,0,-0.2752762,3.838252,-1.056579425,1.09e-07,0.0493667,4.23e-07,0.190003,,0.00164965,,,,,,,25.97105401,-0.020853515
72,82,	03/23/2024 12:12:03.179,972.2966,730.058,1,6,0,0,0,-0.2764206,3.837728,-1.060827076,1.09e-07,0.05013339,4.23e-07,0.1929454,,-0.000120567,,,,,,,26.02821102,0.024831434
73,83,	03/23/2024 12:12:13.180,982.2973,740.0587,1,6,0,0,0,-0.2775555,3.837243,-1.065047899,1.09e-07,0.05090353,4.23e-07,0.1959006,,-4.28e-05,,,,,,,26.0012286,0.00526567
74,84,	03/23/2024 12:12:23.180,992.2975,750.0589,1,6,0,0,0,-0.2792139,3.836806,-1.071289567,1.09e-07,0.05167726,4.23e-07,0.1988694,,-6.77e-05,,,,,,,26.0314,0.002040863
75,85,	03/23/2024 12:12:33.182,1002.2991,760.0605,1,6,0,0,0,-0.2803087,3.836343,-1.075360319,1.09e-07,0.05245431,4.23e-07,0.2018504,,-7.15e-05,,,,,,,26.07003173,0.030513121
76,86,	03/23/2024 12:12:43.183,1012.3,770.0614,1,6,0,0,0,-0.2817879,3.835184,-1.080708445,1.09e-07,0.0532347,4.23e-07,0.204844,,-6.61e-05,,,,,,,26.07641595,0.018867371
77,87,	03/23/2024 12:12:53.184,1022.3012,780.0626,1,6,0,0,0,-0.2755079,3.836031,-1.056856845,1.09e-07,0.05400387,4.23e-07,0.2077945,,,,,,,,,26.09612,0.01084208
78,88,	03/23/2024 12:13:03.184,1032.3014,790.0628,1,6,0,0,0,-0.2728033,3.835178,-1.046249214,1.09e-07,0.05476797,4.23e-07,0.2107254,,0.006871648,,,,,,,26.05804863,0.004452531
79,89,	03/23/2024 12:13:13.185,1042.3026,800.064,1,6,0,0,0,-0.2681541,3.836095,-1.028664602,1.09e-07,0.05551608,4.23e-07,0.2135951,,-2.95e-05,,,,,,,26.09704169,0.002757924
80,90,	03/23/2024 12:13:23.187,1052.3037,810.0651,1,6,0,0,0,-0.266717,3.835611,-1.023022659,1.09e-07,0.05625905,4.23e-07,0.2164451,,-5.71e-05,,,,,,,26.09931,0.00469625
81,91,	03/23/2024 12:13:33.187,1062.3046,820.066,1,6,0,0,0,-0.2649717,3.835369,-1.016264244,1.09e-07,0.05699781,4.23e-07,0.2192787,,-3.59e-05,,0.0,0.0,,,,26.08729,-0.000995994
82,92,	03/23/2024 12:13:43.188,1072.3047,830.0661,1,6,0,0,0,-0.2753153,3.834491,-1.05569404,1.09e-07,0.05774108,4.23e-07,0.2221294,,-2.56e-05,,,,,,,26.06424736,-0.013182041
83,93,	03/23/2024 12:13:53.189,1082.3058,840.0672,1,6,0,0,0,-0.2769175,3.834044,-1.061713879,1.09e-07,0.05850824,4.23e-07,0.2250707,,,,2.159645081,,,,,26.12836201,-0.002990467
84,94,	03/23/2024 12:14:03.189,1092.3063,850.0677,1,6,0,0,0,-0.3121767,3.830482,-1.19578723,1.09e-07,0.05931734,4.23e-07,0.2281714,,-0.000285916,,,,,,,26.11337295,-0.011942297
85,95,	03/23/2024 12:14:13.190,1102.3067,860.0681,1,6,0,0,0,-0.3205366,3.829074,-1.227358361,1.09e-07,0.06019522,4.23e-07,0.2315333,,-0.000102701,,,,,,,26.13382,-0.01691639
86,96,	03/23/2024 12:14:23.190,1112.3068,870.0682,1,6,0,0,0,-0.3286142,3.827697,-1.257835587,1.09e-07,0.06109641,4.23e-07,0.2349834,,-0.000475867,,0.387158006,0.812992275,,,,26.18049193,0.009656879
87,97,	03/23/2024 12:14:33.191,1122.308,880.0694,1,6,0,0,0,-0.3373508,3.826384,-1.290833704,1.09e-07,0.06202117,4.23e-07,0.2385225,,-0.000100702,,,,,,,26.1717,0.009667277
88,98,	03/23/2024 12:14:43.193,1132.3097,890.0711,1,6,0,0,0,-0.346055,3.825399,-1.323798451,1.09e-07,0.0629698,4.23e-07,0.2421517,,-0.000135903,,,,,,,26.14696527,-0.000753895
