,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/23/2024 17:43:43.323,602.2212,0.0097,1,6,0,0,0,0,0,0,0,0,-1.323993,3.77295,-4.99535938935,0.0,1.698445e-07,0.0,6.587089e-07,,-0.0119803296402097,,,,,,,23.8628082347587,-0.0045794060428935
19,35,	06/23/2024 17:46:05.829,744.7267,142.5152,1,6,0,0,0,0,0,0,0,0,-0.1438675,3.869242,-0.556658173435,5.043834e-06,0.003748053,1.959761e-05,0.01449763,,-0.0001659630943322,,,,,,,24.07236,0.01229882
20,36,	06/23/2024 17:46:15.830,754.7277,152.5162,1,6,0,0,0,0,0,0,0,0,-0.1540003,3.86832,-0.595722440496,5.043834e-06,0.004160461,1.959761e-05,0.01609317,,0.0163924302905798,,0.331400096416473,,,,,24.05479,0.01375496
21,37,	06/23/2024 17:46:25.830,764.7279,162.5164,1,6,0,0,0,0,0,0,0,0,-0.1634741,3.867036,-0.6321602297676,5.043834e-06,0.004600118,1.959761e-05,0.0177936,,-0.0001058980997186,,,,,,,24.08411,0.02313793
22,38,	06/23/2024 17:46:35.830,774.728,172.5165,1,6,0,0,0,0,0,0,0,0,-0.1740665,3.865725,-0.6728932207125,5.043834e-06,0.005068599,1.959761e-05,0.01960489,,0.0143902599811554,,,,,,,24.06086,0.001007915
23,39,	06/23/2024 17:46:45.831,784.7288,182.5173,1,6,0,0,0,0,0,0,0,0,-0.1857977,3.864245,-0.7179678332365,5.043834e-06,0.005567769,1.959761e-05,0.02153415,,-0.0001332258980255,,,,,,,23.9946753444108,-0.0060378800634326
24,40,	06/23/2024 17:46:55.831,794.7289,192.5174,1,6,0,0,0,0,0,0,0,0,-0.1980467,3.862755,-0.7650058806585,5.043834e-06,0.006099287,1.959761e-05,0.02358767,,-4.3065438148e-06,,0.355092614889145,2.97973489761353,,,,24.01722,0.00459075
25,41,	06/23/2024 17:47:05.831,804.7291,202.5176,1,6,0,0,0,0,0,0,0,0,-0.2104025,3.861079,-0.8123806742975,5.043834e-06,0.006665562,1.959761e-05,0.02577459,,,,,,,,,23.9603353466672,-0.0185576746712008
26,42,	06/23/2024 17:47:15.831,814.7292,212.5177,1,6,0,0,0,0,0,0,0,0,-0.2237406,3.85957,-0.863542507542,5.043834e-06,0.007268005,1.959761e-05,0.02810021,,-0.0001843095960794,,,,,,,23.99324,0.004022717
27,43,	06/23/2024 17:47:25.831,824.7293,222.5178,1,6,0,0,0,0,0,0,0,0,-0.2379761,3.857813,-0.9180672922693,5.043834e-06,0.007908513,1.959761e-05,0.03057167,,-0.0001743399043334,,0.339050799608231,,,,,24.0332980918547,0.0204638982805662
28,44,	06/23/2024 17:47:35.831,834.7294,232.5179,1,6,0,0,0,0,0,0,0,0,-0.2529478,3.855984,-0.9753626696352,5.043834e-06,0.008588999,1.959761e-05,0.03319615,,-8.29752971185e-05,,,,,,,24.0054095196275,0.009061808167721
29,45,	06/23/2024 17:47:45.831,844.7295,242.518,1,6,0,0,0,0,0,0,0,0,-0.2682791,3.853216,-1.0337373205856,5.043834e-06,0.009311527,1.959761e-05,0.03598139,,-0.0001415544975316,,,,,,,24.02474,-0.001227856
30,46,	06/23/2024 17:47:55.832,854.7296,252.5181,1,6,0,0,0,0,0,0,0,0,-0.2842102,3.852254,-1.0948498797908,5.043834e-06,0.01007762,1.959761e-05,0.03893307,,-0.0002206025965278,,0.368041485548019,2.675940990448,,,,23.9882053213978,-0.0108473531086642
31,47,	06/23/2024 17:48:05.832,864.7297,262.5182,1,6,0,0,0,0,0,0,0,0,-0.3013401,3.848732,-1.1597772857532,5.043834e-06,0.01088888,1.959761e-05,0.04205703,,-0.0001648886973271,,,,,,,24.0565598327591,0.0088355957110468
32,48,	06/23/2024 17:48:15.832,874.7299,272.5184,1,6,0,0,0,0,0,0,0,0,-0.3182774,3.848053,-1.2247483039022,5.043834e-06,0.01174809,1.959761e-05,0.04536377,,-6.91858585923e-05,,,,,,,24.022196159675,-0.021016895270353
33,49,	06/23/2024 17:48:25.832,884.73,282.5185,1,6,0,0,0,0,0,0,0,0,-0.3363848,3.845083,-1.2934274759384,5.043834e-06,0.01265648,1.959761e-05,0.04885773,,-0.0003035452100448,,0.447746694087982,,,,,24.0021726703661,-0.0003369730451505
34,50,	06/23/2024 17:48:35.832,894.73,292.5185,1,6,0,0,0,0,0,0,0,0,-0.3548594,3.842742,-1.3636331204748,5.043834e-06,0.01361556,1.959761e-05,0.05254436,,-0.0001600810064701,,,,,,,24.0082187047711,-0.0095104253828521
35,51,	06/23/2024 17:48:45.832,904.7303,302.5188,1,6,0,0,0,0,0,0,0,0,-0.3233299,3.844757,-1.2431248963343,5.043834e-06,0.01452836,1.959761e-05,0.05605374,,5.06937285535e-05,,,2.53984999656677,,,,23.95957,-0.01442432
36,52,	06/23/2024 17:48:55.832,914.7303,312.5188,1,6,0,0,0,0,0,0,0,0,-0.3061028,3.845995,-1.177269838286,5.043834e-06,0.01543068,1.959761e-05,0.05952268,,2.29565903282e-05,,,,,,,23.99071,0.0007861853
37,53,	06/23/2024 17:49:05.833,924.7311,322.5196,1,6,0,0,0,0,0,0,0,0,-0.2823524,3.847981,-1.0864866705044,5.043834e-06,0.01623248,1.959761e-05,0.06260732,,0.0009214804158546,,,,,,,23.978553893524,-0.0003254302452074
38,54,	06/23/2024 17:49:15.833,934.7311,332.5196,1,6,0,0,0,0,0,0,0,0,-0.2734718,3.848235,-1.052383752273,5.043834e-06,0.01700402,1.959761e-05,0.06557607,,4.46096382802e-05,,,,,,,23.8919400293164,-0.0248304539144043
39,55,	06/23/2024 17:49:25.833,944.7315,342.52,1,6,0,0,0,0,0,0,0,0,-0.2659073,3.84865,-1.023384130145,5.043834e-06,0.01775337,1.959761e-05,0.06845967,,3.038487921e-05,,,,,,,23.9402480063143,-0.0049259268859982
40,56,	06/23/2024 17:49:35.834,954.7324,352.5209,1,6,0,0,0,0,0,0,0,0,-0.2570257,3.848925,-0.9892726423725,5.043834e-06,0.01848099,1.959761e-05,0.07125995,,8.71666998136e-05,,-1.1421480178833,,,,,23.989274488432,0.0001161786422787
41,57,	06/23/2024 17:49:45.835,964.7333,362.5218,1,6,0,0,0,0,0,0,0,0,-0.2496996,3.849003,-0.9610945094988,5.043834e-06,0.01918539,1.959761e-05,0.07397114,,,,,,,,,23.95672,-0.000115633
42,58,	06/23/2024 17:49:55.835,974.7334,372.5219,1,6,0,0,0,0,0,0,0,0,-0.273591,3.846897,-1.052476397127,5.043834e-06,0.01990617,1.959761e-05,0.07674476,,2.08624405786e-05,,0.339706510305405,-1.82958102226257,,,,23.9567165375102,0.0071608292594204
43,59,	06/23/2024 17:50:05.836,984.7343,382.5228,1,6,0,0,0,0,0,0,0,0,-0.2772961,3.846045,-1.0664932789245,5.043834e-06,0.02067079,1.959761e-05,0.07968564,,-0.0001015509988064,,,,,,,24.0458098086361,0.0116318017224967
44,60,	06/23/2024 17:50:15.837,994.7351,392.5236,1,6,0,0,0,0,0,0,0,0,-0.2807426,3.844763,-1.0793887610038,5.043834e-06,0.02144542,1.959761e-05,0.08266442,,-9.5928859082e-05,,,,,,,24.0647848139273,0.021917717125335
45,61,	06/23/2024 17:50:25.837,1004.7353,402.5238,1,6,0,0,0,0,0,0,0,0,-0.2833452,3.844417,-1.0892971037484,5.043834e-06,0.02222861,1.959761e-05,0.08567553,,-9.06153072719e-05,,,,,,,23.97748,-0.01486719
46,62,	06/23/2024 17:50:28.343,1007.2409,405.0294,1,6,0,0,0,0,0,0,0,0,-0.3839874,3.833958,-1.4721915641292,5.043834e-06,0.02244399,1.959761e-05,0.08650296,,-0.0032895649783313,,0.517431914806366,3.55212211608887,,,,23.9774780274225,-0.0148671865464635
47,63,	06/23/2024 17:50:38.343,1017.241,415.0295,1,6,0,0,0,0,0,0,0,0,-0.4545679,3.827826,-1.7400068263854,5.043834e-06,0.02362631,1.959761e-05,0.09103228,,-0.0008322257199324,,0.121164597570896,23.1791706085205,,,,23.9220090691136,-0.0027937904346182
48,64,	06/23/2024 17:50:47.394,1026.2924,424.0809,1,6,0,0,0,0,0,0,0,0,-0.3363132,3.838379,-1.2908975243028,5.043834e-06,0.02477001,1.959761e-05,0.09540889,,0.002547388896346,,-0.0208010505884886,,,,,23.9799912722568,-0.0021123961376466
49,65,	06/23/2024 17:50:57.395,1036.2926,434.0811,1,6,0,0,0,0,0,0,0,0,-0.3005304,3.840445,-1.154170472028,5.043834e-06,0.02564211,1.959761e-05,0.09875663,,0.0005603588069789,,-0.117011003196239,-4.23943281173706,,,,23.93988,0.0135231
50,66,	06/23/2024 17:51:07.395,1046.2926,444.0811,1,6,0,0,0,0,0,0,0,0,-0.2786484,3.841687,-1.0704799358508,5.043834e-06,0.02644684,1.959761e-05,0.1018474,,0.0022697169333696,,,,,,,23.98715,-0.002005696
51,67,	06/23/2024 17:51:17.395,1056.2935,454.082,1,6,0,0,0,0,0,0,0,0,-0.2594471,3.843036,-0.9970645453956,5.043834e-06,0.02719436,1.959761e-05,0.1047195,,-0.0037465780042111,,,,,,,23.9588683095249,0.0004422419870564
52,68,	06/23/2024 17:51:27.395,1066.2935,464.082,1,6,0,0,0,0,0,0,0,0,-0.241437,3.844627,-0.928235208999,5.043834e-06,0.02788931,1.959761e-05,0.1073908,,0.0001702326990198,,-0.455874502658844,,,,,23.9864098655898,0.0102858751118187
53,69,	06/23/2024 17:51:37.396,1076.2944,474.0829,1,6,0,0,0,0,0,0,0,0,-0.224308,3.845766,-0.862636079928,5.043834e-06,0.02853611,1.959761e-05,0.1098778,,9.33760529733e-05,,,,,,,23.9463371469123,0.0082743369024415
54,70,	06/23/2024 17:51:47.397,1086.2946,484.0831,1,6,0,0,0,0,0,0,0,0,-0.2374735,3.844559,-0.9129808816865,5.043834e-06,0.02918078,1.959761e-05,0.1123566,,4.23941310145e-05,,,,,,,23.91949,-0.001460314
55,71,	06/23/2024 17:51:57.397,1096.2946,494.0831,1,6,0,0,0,0,0,0,0,0,-0.2314653,3.844277,-0.8898167290881,5.043834e-06,0.0298323,1.959761e-05,0.1148614,,0.0017206559423357,,,,,,,23.9098454486184,0.0045883050686188
56,72,	06/23/2024 17:52:07.397,1106.2948,504.0833,1,6,0,0,0,0,0,0,0,0,-0.2980671,3.839591,-1.1444557545561,5.043834e-06,0.03060096,1.959761e-05,0.1178133,,-0.0006409059860743,,0.43436661362648,,,,,23.89194,0.001682043
57,73,	06/23/2024 17:52:17.398,1116.2957,514.0842,1,6,0,0,0,0,0,0,0,0,-0.3127375,3.836659,-1.1998671440125,5.043834e-06,0.03144873,1.959761e-05,0.1210664,,-0.0003073993138968,,0.182994395494461,,,,,23.8976802251957,0.0118528779608375
58,74,	06/23/2024 17:52:27.398,1126.2958,524.0843,1,6,0,0,0,0,0,0,0,0,-0.327095,3.834419,-1.254219282805,5.043834e-06,0.03233703,1.959761e-05,0.1244733,,-0.0002708564861677,,,,,,,23.8411260538207,-0.0147649964239955
59,75,	06/23/2024 17:52:36.321,1135.2191,533.0076,1,6,0,0,0,0,0,0,0,0,-0.4501686,3.823355,-1.721154367653,5.043834e-06,0.03316884,1.959761e-05,0.1276617,,-0.0002040734980255,,0.293989211320877,1.29556798934937,,,,23.8837,0.0139755
60,76,	06/23/2024 17:52:39.104,1138.0024,535.7909,1,6,0,0,0,0,0,0,0,0,-0.5264149,3.81328,-2.007367409872,5.043834e-06,0.03355256,1.959761e-05,0.129127,,-0.0018169459654018,,0.0314858518540859,78.2304992675781,,,,23.8300361840458,0.0139755010604477
61,77,	06/23/2024 17:52:49.105,1148.0033,545.7918,1,6,0,0,0,0,0,0,0,0,-0.4405222,3.820653,-1.6830824649966,5.043834e-06,0.03507159,1.959761e-05,0.1349183,,0.0021988761145621,,-0.163548499345779,-17.89866065979,,,,23.78924,-0.02315581
62,78,	06/23/2024 17:52:59.105,1158.0034,555.7919,1,6,0,0,0,0,0,0,0,0,-0.3666935,3.827317,-1.4034522663395,5.043834e-06,0.03613202,1.959761e-05,0.1389756,,0.0002157473936676,,-0.0651945695281029,,,,,23.8203846678045,-0.0067116474416902
63,79,	06/23/2024 17:53:09.105,1168.0034,565.7919,1,6,0,0,0,0,0,0,0,0,-0.2930059,3.833467,-1.1232284484553,5.043834e-06,0.03713173,1.959761e-05,0.1428019,,,,-0.323061585426331,-4.93894386291504,,,,23.8697523901823,0.0234928686916828
64,80,	06/23/2024 17:53:19.106,1178.0045,575.793,1,6,0,0,0,0,0,0,0,0,-0.2233753,3.839619,-0.8576760460107,5.043834e-06,0.03782937,1.959761e-05,0.1454787,,0.0004358279984444,,-0.0728443562984467,-17.0233306884766,,,,23.7870834987015,-0.0013444324349436
65,81,	06/23/2024 17:53:29.107,1188.0053,585.7938,1,6,0,0,0,0,0,0,0,0,-0.1736221,3.843847,-0.6673767882187,5.043834e-06,0.03837852,1.959761e-05,0.1475884,,0.0005212791147641,,-0.123693197965622,,,,,23.7602312865347,-0.0090634051027076
66,82,	06/23/2024 17:53:31.318,1190.2165,588.005,1,6,0,0,0,0,0,0,0,0,-0.3714581,3.827435,-1.4217317329735,5.043834e-06,0.03849341,1.959761e-05,0.1480299,,-0.0334339886903763,,0.0568204410374165,,,,,23.7398214033532,-0.0063784144732395
67,83,	06/23/2024 17:53:32.406,1191.3038,589.0923,1,6,0,0,0,0,0,0,0,0,-0.4775763,3.817122,-1.8229670014086,5.043834e-06,0.03861744,1.959761e-05,0.1485042,,-0.0043329112231731,,0.0086635136976838,14.1637697219849,,,,23.7398204803025,-0.0063782930374111
68,84,	06/23/2024 17:53:37.411,1196.3094,594.0979,1,6,0,0,0,0,0,0,0,0,-0.5655212,3.806948,-2.1529098012976,5.043834e-06,0.03935565,1.959761e-05,0.1513183,,-0.0015686280094087,,0.0440542511641979,82.6013412475586,,,,23.75381,-0.007718801
69,85,	06/23/2024 17:53:42.833,1201.731,599.5195,1,6,0,0,0,0,0,0,0,0,-0.4524078,3.817203,-1.7269324113834,5.043834e-06,0.04019964,1.959761e-05,0.1545323,,0.0028164379764348,,-0.0266597997397184,13.7984399795532,,,,23.7692029021171,0.0095155636550236
70,86,	06/23/2024 17:53:52.834,1211.7319,609.5204,1,6,0,0,0,0,0,0,0,0,-0.3667946,3.824061,-1.4026449248706,5.043834e-06,0.04127378,1.959761e-05,0.1586382,,0.0014963659923523,,-0.0410426817834377,-12.138819694519,,,,23.73233,-0.00782609
71,87,	06/23/2024 17:54:02.834,1221.7321,619.5206,1,6,0,0,0,0,0,0,0,0,-0.3661194,3.822985,-1.399668974409,5.043834e-06,0.04229088,1.959761e-05,0.1625276,,-2.58033905993e-05,,,,,,,23.7613064729364,-0.0007779110946982
72,88,	06/23/2024 17:54:12.834,1231.7321,629.5206,1,6,0,0,0,0,0,0,0,0,-0.3658152,3.823277,-1.3986128404104,5.043834e-06,0.04330747,1.959761e-05,0.1664145,,-8.31621291581e-05,,,,,,,23.7248042896213,-0.0134228395521639
73,89,	06/23/2024 17:54:22.834,1241.7323,639.5208,1,6,0,0,0,0,0,0,0,0,-0.3660049,3.822722,-1.3991349833378,5.043834e-06,0.04432344,1.959761e-05,0.1702984,,-0.0001003920988296,,,,,,,23.74845,0.005821586
74,90,	06/23/2024 17:54:32.834,1251.7325,649.521,1,6,0,0,0,0,0,0,0,0,-0.2833681,3.828377,-1.0848399165737,5.043834e-06,0.04533326,1.959761e-05,0.1741583,,,,-0.85439658164978,-2.31749391555786,,,,23.7151378148046,-0.0192454930857483
75,91,	06/23/2024 17:54:40.188,1259.0861,656.8746,1,6,0,0,0,0,0,0,0,0,-0.1986895,3.838407,-0.7626511676265,5.043834e-06,0.04579863,1.959761e-05,0.1759425,,0.0007622077246196,,-0.0615134499967098,,,,,23.72697,-0.01980305
76,92,	06/23/2024 17:54:50.188,1269.0863,666.8748,1,6,0,0,0,0,0,0,0,0,-0.259881,3.831634,-0.995768875554,5.043834e-06,0.04641903,1.959761e-05,0.1783213,,-0.0012101170141249,,0.0663195624947548,-19.0126094818115,,,,23.689724340955,-0.0265180393120211
77,93,	06/23/2024 17:55:00.189,1279.0872,676.8757,1,6,0,0,0,0,0,0,0,0,-0.2441902,3.832004,-0.9357378231608,5.043834e-06,0.04711805,1.959761e-05,0.1810001,,1.1735030057e-05,,,,,,,23.72626,0.00850141
78,94,	06/23/2024 17:55:10.189,1289.0873,686.8758,1,6,0,0,0,0,0,0,0,0,-0.2293196,3.833811,-0.8791680049956,5.043834e-06,0.04777512,1.959761e-05,0.1835187,,,,,,,,,23.757033994021,0.0062614903326274
79,95,	06/23/2024 17:55:20.190,1299.0881,696.8766,1,6,0,0,0,0,0,0,0,0,-0.2152004,3.83421,-0.825123525684,5.043834e-06,0.04839125,1.959761e-05,0.1858812,,8.4632592916e-05,,,,,,,23.7656630606481,0.0111960871318721
80,96,	06/23/2024 17:55:30.190,1309.0883,706.8768,1,6,0,0,0,0,0,0,0,0,-0.2008362,3.836026,-0.7704128849412,5.043834e-06,0.04896846,1.959761e-05,0.188095,,9.16296921786e-05,,,,,,,23.68329,0.003466606
81,97,	06/23/2024 17:55:40.190,1319.0884,716.8769,1,6,0,0,0,0,0,0,0,0,-0.2192078,3.834394,-0.8405290730732,5.043834e-06,0.04951209,1.959761e-05,0.1901805,,6.78819633321e-05,,-0.58409857749939,,,,,23.6464351524803,-0.0079410127483786
82,98,	06/23/2024 17:55:50.191,1329.0892,726.8777,1,6,0,0,0,0,0,0,0,0,-0.2509193,3.831013,-0.9612751002509,5.043834e-06,0.05019399,1.959761e-05,0.1927933,,-0.0002557841071393,,0.0967325121164322,,,,,23.7517327269537,0.0229450952121311
83,99,	06/23/2024 17:56:00.191,1339.0893,736.8778,1,6,0,0,0,0,0,0,0,0,-0.2447262,3.83109,-0.937568097558,5.043834e-06,0.05089618,1.959761e-05,0.195483,,-0.0001294029061682,,,2.36995410919189,,,,23.7492,0.003805757
84,100,	06/23/2024 17:56:10.192,1349.0896,746.8781,1,6,0,0,0,0,0,0,0,0,-0.2449989,3.830672,-0.9385104262608,5.043834e-06,0.05157532,1.959761e-05,0.1980846,,3.88382395613e-05,,,,,,,23.6869055301526,-0.0068353542549215
85,101,	06/23/2024 17:56:20.192,1359.0897,756.8782,1,6,0,0,0,0,0,0,0,0,-0.2453508,3.830166,-0.9397342922328,5.043834e-06,0.05225623,1.959761e-05,0.2006927,,-4.61130293842e-05,,,,,,,23.6983813091371,0.0088505368427193
86,102,	06/23/2024 17:56:30.193,1369.0907,766.8792,1,6,0,0,0,0,0,0,0,0,-0.2456951,3.829583,-0.9409097781433,5.043834e-06,0.05293801,1.959761e-05,0.2033039,,0.0001337363937636,,,,,,,23.62137,-0.005264878
87,103,	06/23/2024 17:56:36.036,1374.9345,772.723,1,6,0,0,0,0,0,0,0,0,-0.3497,3.819362,-1.3356308914,5.043834e-06,0.05336412,1.959761e-05,0.2049349,,-0.008402525447309,,0.0109625095501542,,,,,23.6317594657686,0.0006686625787253
88,104,	06/23/2024 17:56:46.037,1384.9347,782.7232,1,6,0,0,0,0,0,0,0,0,-0.4123116,3.813624,-1.5724014132384,5.043834e-06,0.0544402,1.959761e-05,0.2090416,,-0.0005920898984186,,0.0536497607827187,3.25294804573059,,,,23.6417998263606,-0.0186918229976276
89,105,	06/23/2024 17:56:55.475,1394.3733,792.1618,1,6,0,0,0,0,0,0,0,0,-0.2994823,3.823626,-1.1451083088198,5.043834e-06,0.05549814,1.959761e-05,0.2130758,,0.0019350750371813,,-0.0176759995520115,-139.763305664063,,,,23.6676,0.008842945
90,106,	06/23/2024 17:57:05.475,1404.3734,802.1619,1,6,0,0,0,0,0,0,0,0,-0.2754545,3.823792,-1.053280713464,5.043834e-06,0.0562913,1.959761e-05,0.2161085,,0.0006853744853287,,,,,,,23.62927,-0.007733107
91,107,	06/23/2024 17:57:15.476,1414.3743,812.1628,1,6,0,0,0,0,0,0,0,0,-0.2588234,3.825254,-0.9900652461436,5.043834e-06,0.05703388,1.959761e-05,0.2189488,,9.52100599533e-05,,,,,,,23.65974,0.008502007
92,108,	06/23/2024 17:57:25.477,1424.3751,822.1636,1,6,0,0,0,0,0,0,0,0,-0.2442942,3.825949,-0.9346571501958,5.043834e-06,0.05773275,1.959761e-05,0.2216227,,0.0001118795989896,,-0.396928906440735,-4.67894601821899,,,,23.6199726266458,-0.0060443615746228
93,109,	06/23/2024 17:57:35.478,1434.3761,832.1646,1,6,0,0,0,0,0,0,0,0,-0.1991091,3.83059,-0.762705327369,5.043834e-06,0.05835141,1.959761e-05,0.2239911,,0.0014345230301842,,,,,,,23.64005,-0.002351999
94,110,	06/23/2024 17:57:45.478,1444.3762,842.1647,1,6,0,0,0,0,0,0,0,0,-0.1758137,3.83295,-0.673885121415,5.043834e-06,0.05887119,1.959761e-05,0.2259826,,9.30074966163e-05,,-0.225210398435593,,,,,23.6501,0.004028082
95,111,	06/23/2024 17:57:55.478,1454.3764,852.1649,1,6,0,0,0,0,0,0,0,0,-0.2225275,3.828221,-0.8518844485775,5.043834e-06,0.05944304,1.959761e-05,0.2281726,,-0.0001154604033217,,0.0737675875425339,,,,,23.67341,-0.005816817
96,112,	06/23/2024 17:58:05.479,1464.3771,862.1656,1,6,0,0,0,0,0,0,0,0,-0.2226677,3.827703,-0.8523058232931,5.043834e-06,0.06006157,1.959761e-05,0.2305403,,-3.84871091227e-05,,,,,,,23.6809348307628,0.0103030977080101
97,113,	06/23/2024 17:58:15.479,1474.3772,872.1657,1,6,0,0,0,0,0,0,0,0,-0.2218609,3.828981,-0.8495011707429,5.043834e-06,0.06067907,1.959761e-05,0.2329038,,-5.30253710167e-05,,,,,,,23.6709424063945,-0.0057028123513859
