,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,95,	03/23/2024 00:08:25.755,1093.2609,10.0008,1,7,0,0,0,-0.06135178,3.859129,-0.236764433,2.34254e-07,0.04926119,9.07407e-07,0.1897067,,0.002200598,,,,,,,26.26701928,-0.002688833
35,130,	03/23/2024 00:14:15.777,1443.2832,360.0231,1,7,0,0,0,-0.2965412,3.826942,-1.134845973,2.34254e-07,0.06922415,9.07407e-07,0.2663109,,,,,0.0,,,,26.12913,0.00092566
36,131,	03/23/2024 00:14:25.778,1453.2835,370.0234,1,7,0,0,0,-0.2966747,3.826353,-1.135182128,2.34254e-07,0.07004844,9.07407e-07,0.2694651,,4.92322e-05,,,,,,,26.13379,-0.009745955
37,132,	03/23/2024 00:14:35.778,1463.2842,380.0241,1,7,0,0,0,-0.2974882,3.826025,-1.13819729,2.34254e-07,0.07087412,9.07407e-07,0.2726244,,-4.66267e-05,,,,,,,26.15223,-0.004451871
38,133,	03/23/2024 00:14:45.779,1473.2851,390.025,1,7,0,0,0,-0.2980528,3.825811,-1.140293681,2.34254e-07,0.0717013,9.07407e-07,0.2757889,,-6.10033e-05,,0.0,,,,,26.16550814,0.003463547
39,134,	03/23/2024 00:14:55.781,1483.2864,400.0263,1,7,0,0,0,-0.2986612,3.824716,-1.14229427,2.34254e-07,0.07252986,9.07407e-07,0.2789584,,-7.1556e-05,,-0.002289472,0.800982773,,,,26.18291647,0.0084352
40,135,	03/23/2024 00:15:05.781,1493.287,410.0269,1,7,0,0,0,-0.2992668,3.824761,-1.144623985,2.34254e-07,0.07335982,9.07407e-07,0.2821328,,5.64239e-05,,,,,,,26.21314,0.01565337
41,136,	03/23/2024 00:15:15.782,1503.2879,420.0278,1,7,0,0,0,-0.2997065,3.824201,-1.146137897,2.34254e-07,0.07419071,9.07407e-07,0.2853105,,,,,,,,,26.20428,0.01135826
42,137,	03/23/2024 00:15:25.782,1513.2879,430.0278,1,7,0,0,0,-0.3003273,3.823065,-1.148170789,2.34254e-07,0.07502375,9.07407e-07,0.2884959,,-6.26268e-05,,,,,,,26.18688,0.004920363
43,138,	03/23/2024 00:15:35.782,1523.2879,440.0278,1,7,0,0,0,-0.3008327,3.823467,-1.150223901,2.34254e-07,0.07585807,9.07407e-07,0.2916859,,-5.04197e-05,,,,,,,26.17486,0.004451275
44,139,	03/23/2024 00:15:45.782,1533.2881,450.028,1,7,0,0,0,-0.3013382,3.822119,-1.15175046,2.34254e-07,0.07669389,9.07407e-07,0.2948813,,3.6984e-05,,0.667907,,,,,26.19866,-0.003215075
45,140,	03/23/2024 00:15:55.783,1543.2885,460.0284,1,7,0,0,0,-0.3017406,3.822501,-1.153403745,2.34254e-07,0.07753076,9.07407e-07,0.2980803,,-0.000109358,,,,,,,26.17017,-0.009204149
46,141,	03/23/2024 00:16:01.993,1549.499,466.2389,1,7,0,0,0,-0.1965456,3.83304,-0.753367147,2.34254e-07,0.07797571,9.07407e-07,0.2997824,,0.001184874,,-0.021692,-1.786458015,,,,26.20525,-0.003681183
47,142,	03/23/2024 00:16:11.994,1559.4996,476.2395,1,7,0,0,0,-0.1700821,3.83453,-0.652184915,2.34254e-07,0.07848136,9.07407e-07,0.3017207,,0.000203913,,,,,,,26.1709045,0.000988794
48,143,	03/23/2024 00:16:17.803,1565.3087,482.0486,1,7,0,0,0,-0.2670803,3.824349,-1.021408278,2.34254e-07,0.0787892,9.07407e-07,0.3029003,,-9.45516e-05,,0.01181441,,,,,26.24947985,0.019104169
49,144,	03/23/2024 00:16:27.803,1575.3087,492.0486,1,7,0,0,0,-0.2817383,3.82392,-1.07734472,2.34254e-07,0.0795619,9.07407e-07,0.3058554,,-0.000302705,,-0.01905247,8.461644173,,,,26.22172574,0.001986794
50,145,	03/23/2024 00:16:37.803,1585.3088,502.0487,1,7,0,0,0,-0.2854939,3.8229,-1.09141463,2.34254e-07,0.08034993,9.07407e-07,0.3088682,,5.80796e-05,,0.180386901,,,,,26.1962321,-0.010430689
51,146,	03/23/2024 00:16:47.804,1595.3096,512.0495,1,7,0,0,0,-0.2896605,3.822043,-1.107094886,2.34254e-07,0.08114913,9.07407e-07,0.3119231,,-0.00029209,,,,,,,26.20239,-0.01624346
52,147,	03/23/2024 00:16:57.805,1605.3107,522.0506,1,7,0,0,0,-0.2936182,3.821396,-1.122031415,2.34254e-07,0.08195947,9.07407e-07,0.3150199,,1.96374e-05,,,,,,,26.23108,0.000229478
53,148,	03/23/2024 00:17:07.805,1615.3107,532.0506,1,7,0,0,0,-0.2976608,3.819072,-1.136788027,2.34254e-07,0.08278079,9.07407e-07,0.318158,,-0.000104453,,,,,,,26.21663871,0.010369319
54,149,	03/23/2024 00:17:17.805,1625.3107,542.0506,1,7,0,0,0,-0.3020163,3.819689,-1.153608339,2.34254e-07,0.08361388,9.07407e-07,0.3213404,,-0.000111089,,,,,,,26.24385616,0.004690942
55,150,	03/23/2024 00:17:27.806,1635.3117,552.0516,1,7,0,0,0,-0.3060665,3.818868,-1.168827563,2.34254e-07,0.08445822,9.07407e-07,0.324565,,-0.00012935,,,,,,,26.22542,-0.01165748
56,151,	03/23/2024 00:17:37.806,1645.312,562.0519,1,7,0,0,0,-0.3102236,3.817971,-1.184424708,2.34254e-07,0.08531419,9.07407e-07,0.3278333,,-7.09633e-05,,,,,,,26.27946418,0.011968376
57,152,	03/23/2024 00:17:47.807,1655.313,572.0529,1,7,0,0,0,-0.3146725,3.817252,-1.20118423,2.34254e-07,0.08618183,9.07407e-07,0.3311455,,0.001921364,,1.023267031,,,,,26.28147,0.004920363
58,153,	03/23/2024 00:17:57.809,1665.3145,582.0544,1,7,0,0,0,-0.3187752,3.816186,-1.216505455,2.34254e-07,0.08706051,9.07407e-07,0.334499,,-0.000114919,,,,,,,26.25838,-0.001766682
59,154,	03/23/2024 00:18:07.810,1675.3155,592.0554,1,7,0,0,0,-0.3227654,3.815199,-1.231414231,2.34254e-07,0.08795159,9.07407e-07,0.3378991,,0.000577707,,,,,,,26.27262101,-0.014181609
60,155,	03/23/2024 00:18:17.810,1685.3162,602.0561,1,7,0,0,0,-0.3269854,3.814726,-1.247359707,2.34254e-07,0.08885431,9.07407e-07,0.3413429,,-0.00016639,,,,,,,26.30845034,0.005280181
61,156,	03/23/2024 00:18:27.811,1695.317,612.0569,1,7,0,0,0,-0.3317146,3.813303,-1.264928279,2.34254e-07,0.08976909,9.07407e-07,0.3448318,,-5.25934e-05,,,0.0,,,,26.30110557,0.018934471
62,157,	03/23/2024 00:18:37.812,1705.3173,622.0572,1,7,0,0,0,-0.3362598,3.811824,-1.281763176,2.34254e-07,0.09069569,9.07407e-07,0.3483649,,-0.000143834,,0.932730913,0.932981908,,,,26.30282973,0.003982336
63,158,	03/23/2024 00:18:47.812,1715.3173,632.0572,1,7,0,0,0,-0.3399706,3.812362,-1.296090997,2.34254e-07,0.0916341,9.07407e-07,0.3519422,,-0.000127458,,,,,,,26.36764843,0.024548563
64,159,	03/23/2024 00:18:57.813,1725.3186,642.0585,1,7,0,0,0,-0.344449,3.810148,-1.312401668,2.34254e-07,0.09258495,9.07407e-07,0.3555662,,-0.000105792,,,,,,,26.3566,-0.004679561
65,160,	03/23/2024 00:19:07.813,1735.3192,652.0591,1,7,0,0,0,-0.3491278,3.809925,-1.330150733,2.34254e-07,0.09354814,9.07407e-07,0.3592362,,-0.000104062,,,,,,,26.33651753,0.015417136
66,161,	03/23/2024 00:19:17.814,1745.32,662.0599,1,7,0,0,0,-0.353529,3.808914,-1.346561558,2.34254e-07,0.09452389,9.07407e-07,0.3629531,,0.004327883,,,,,,,26.30238186,-0.015117817
67,162,	03/23/2024 00:19:27.816,1755.3214,672.0613,1,7,0,0,0,-0.35814,3.808054,-1.36381646,2.34254e-07,0.09551197,9.07407e-07,0.3667161,,-0.000103301,,,,,,,26.32543,-0.004391074
68,163,	03/23/2024 00:19:37.816,1765.322,682.0619,1,7,0,0,0,-0.3623924,3.80705,-1.379645986,2.34254e-07,0.09651268,9.07407e-07,0.3705262,,7.94142e-06,,1.081490993,,,,,26.33725,0.007274151
69,164,	03/23/2024 00:19:47.816,1775.3221,692.062,1,7,0,0,0,-0.366931,3.806134,-1.396588555,2.34254e-07,0.09752499,9.07407e-07,0.3743795,,-0.002925949,,,,,,,26.3331,0.003750324
70,165,	03/23/2024 00:19:57.817,1785.323,702.0629,1,7,0,0,0,-0.3714495,3.805095,-1.413400635,2.34254e-07,0.0985504,9.07407e-07,0.3782817,,-5.11292e-05,,,,,,,26.35126859,0.016931164
71,166,	03/23/2024 00:20:07.818,1795.3239,712.0638,1,7,0,0,0,-0.3597717,3.805858,-1.369240003,2.34254e-07,0.09957338,9.07407e-07,0.382174,,,,,,,,,26.31375541,-0.007741801
72,167,	03/23/2024 00:20:17.819,1805.3248,722.0647,1,7,0,0,0,-0.3577795,3.805269,-1.36144724,2.34254e-07,0.1005685,9.07407e-07,0.3859608,,-4.73321e-05,,,,,,,26.3287619,0.015346177
73,168,	03/23/2024 00:20:27.820,1815.3253,732.0652,1,7,0,0,0,-0.357193,3.804823,-1.359056142,2.34254e-07,0.1015614,9.07407e-07,0.3897388,,0.000777841,,,,,,,26.33812323,0.00544856
74,169,	03/23/2024 00:20:37.821,1825.3267,742.0666,1,7,0,0,0,-0.3572645,3.803335,-1.358796577,2.34254e-07,0.1025541,9.07407e-07,0.3935156,,-7.412e-05,,,0.0,,,,26.2721,-0.01571238
75,170,	03/23/2024 00:20:47.822,1835.3276,752.0675,1,7,0,0,0,-0.3571672,3.803572,-1.358511161,2.34254e-07,0.1035468,9.07407e-07,0.3972917,,-7.28264e-05,,,,,,,26.30174989,0.008729452
76,171,	03/23/2024 00:20:57.823,1845.3283,762.0682,1,7,0,0,0,-0.3572836,3.802938,-1.358727379,2.34254e-07,0.104539,9.07407e-07,0.4010653,,,,,,,,,26.3005848,0.014877258
77,172,	03/23/2024 00:21:07.823,1855.3285,772.0684,1,7,0,0,0,-0.3575001,3.801466,-1.359024475,2.34254e-07,0.1055317,9.07407e-07,0.4048405,,-4.81255e-05,,,0.676678121,,,,26.31805212,0.007684303
78,173,	03/23/2024 00:21:17.823,1865.3285,782.0684,1,7,0,0,0,-0.3579435,3.803507,-1.361440608,2.34254e-07,0.1065244,9.07407e-07,0.4086153,,-6.87501e-05,,2.046092987,,,,,26.31504,-0.01963437
79,174,	03/23/2024 00:21:27.824,1875.3296,792.0695,1,7,0,0,0,-0.3576097,3.800896,-1.359237278,2.34254e-07,0.1075171,9.07407e-07,0.4123895,,-8.09163e-05,,,,,,,26.2395,-0.01294792
80,175,	03/23/2024 00:21:37.824,1885.33,802.0699,1,7,0,0,0,-0.3574753,3.801398,-1.35890589,2.34254e-07,0.1085098,9.07407e-07,0.4161632,,-4.97887e-05,,,,,,,26.24663,0.004154444
81,176,	03/23/2024 00:21:47.824,1895.3301,812.07,1,7,0,0,0,-0.3016224,3.806071,-1.14799627,2.34254e-07,0.1094212,9.07407e-07,0.4196297,,0.000735567,,-0.57104373,,,,,26.23087136,-0.020030495
82,177,	03/23/2024 00:21:57.825,1905.3308,822.0707,1,7,0,0,0,-0.2886877,3.80695,-1.09901964,2.34254e-07,0.110242,9.07407e-07,0.422754,,0.000101486,,,,,,,26.2007,-0.02209187
83,178,	03/23/2024 00:22:07.826,1915.3317,832.0716,1,7,0,0,0,-0.2765646,3.807735,-1.053084707,2.34254e-07,0.1110282,9.07407e-07,0.4257471,,-0.01991858,,,,,,,26.22771,0.003231764
84,179,	03/23/2024 00:22:15.758,1923.2642,840.0041,1,7,0,0,0,-0.07765579,3.824297,-0.296978805,2.34254e-07,0.1116273,9.07407e-07,0.4280287,,0.001810426,,-0.139883101,-3.485928059,,,,26.25003024,0.004230725
